"RenewableArea"	"ProjectName"	"SiteName"	"Country"	"Capacity"	"Capacity End of Last Year"	"change in capacity Q1"	"change in capacity Q2"	"change in capacity Q3"	"change in capacity Q4"
"Tidal"	"Hammerfest (EMEC)"	"Eday Berth 1"	"Scotland"	1.138	1.138	0	0	0	0
"Wind Onshore"	"St. Johns Hill"	"St. Johns Hill"	"Scotland"	7.65	7.65	0	0	0	0
"Wind Onshore"	"Torrance Farm"	"Torrance Farm"	"Scotland"	9	9	0	0	0	0
"Wind Onshore"	"Barns of Ayre"	"Barns of Ayre"	"Scotland"	2.73	2.73	0	0	0	0
"Wind Onshore"	"Calder Water Windfarm"	"Calder Water Community Wind Farm"	"Scotland"	32.2	32.2	0	0	0	0
"Landfill Gas"	"West Carron Landfill Site"	"West Carron Landfill Site"	"Scotland"	0.48	0.48	0	0	0	0
"Biomass"	"Annan Hospital Biomass"	"Annan Hospital Biomass"	"Scotland"	0.199	0.199	0	0	0	0
"Biomass"	"Castle Douglas Hospital Biomass"	"Castle Douglas Hospital Biomass"	"Scotland"	0.199	0.199	0	0	0	0
"Biomass"	"KIRKCUDBRIGHT COTTAGE HOSPITAL Biomass"	"KIRKCUDBRIGHT COTTAGE HOSPITAL Biomass"	"Scotland"	0.199	0.199	0	0	0	0
"Biomass"	"LOCHMABEN HOSPITAL Biomass Boiler"	"LOCHMABEN HOSPITAL Biomass Boiler"	"Scotland"	0.199	0.199	0	0	0	0
"Biomass"	"Moffat Hospital Biomass"	"Moffat Hospital Biomass"	"Scotland"	0.199	0.199	0	0	0	0
"Biomass"	"Newton Stewart Hospital Biomass"	"Newton Stewart Hospital Biomass"	"Scotland"	0.199	0.199	0	0	0	0
"Biomass"	"Thornhill Hospital Biomass"	"Thornhill Hospital Biomass"	"Scotland"	0.199	0.199	0	0	0	0
"Wind Onshore"	"Scottish & Southern Energy plc"	"National Offshore Wind Turbine Test Facility (NOWTTF) - aka Hunterston"	"Scotland"	6	6	0	0	0	0
"Wind Onshore"	"Muirhall Extension"	"Muirhall Extension"	"Scotland"	6.4	6.4	0	0	0	0
"Wind Offshore"	"Methil Wind Turbine Demonstration Project"	"FEPODWT (Levenmouth demonstration turbine - Fife Energy Park)"	"Scotland"	7.35	7.35	0	0	0	0
"Wind Onshore"	"Jacksbank Wind Farm (Glenbervie)"	"Jacksbank Wind Farm (Glenbervie)"	"Scotland"	6.93	6.93	0	0	0	0
"Shoreline Wave"	"Scottish Power EMEC Test Site"	"Orcadian Wave"	"Scotland"	0.75	0.75	0	0	0	0
"Landfill Gas"	"Lower Melville Wood"	"Lower Melville Wood"	"Scotland"	1	1	0	0	0	0
"Biomass"	"Diageo Biomass Energy Project"	"Diageo Biomass Energy Project"	"Scotland"	5.5	5.5	0	0	0	0
"Biomass"	"Balring"	"Balring"	"Scotland"	0.125	0.125	0	0	0	0
"Anaerobic Digestion"	"Cameron Bridge Distillery (Diageo) (Industrial (CHP))"	"Cameron Bridge Distillery (Diageo) - CHP (Waste AD)"	"Scotland"	5.5	5.5	0	0	0	0
"Wind Onshore"	"Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm"	"Hill of Skilmafilly Cloffrickford (Denmore) Wind Farm"	"Scotland"	6.93	6.93	0	0	0	0
"Wind Onshore"	"Torrance Farm Wind Park Extension"	"Torrance Farm Wind Park Extension"	"Scotland"	5.7	5.7	0	0	0	0
"Tidal"	"Eday Berth 4"	"Eday Berth 4"	"Scotland"	0.2	0.2	0	0	0	0
"Shoreline Wave"	"Billia Croo Berth 6"	"Billia Croo Berth 6"	"Scotland"	0.8	0.8	0	0	0	0
"Biomass"	"Highland Powerhouse1"	"Highland Powerhouse1"	"Scotland"	0.08	0.08	0	0	0	0
"Photovoltaics"	"Bonnymans"	"Bonnymans"	"Scotland"	0.097	0.097	0	0	0	0
"Wind Onshore"	"Beinn Ghrideag wind farm"	"Beinn Ghrideag wind farm"	"Scotland"	9.06	9.06	0	0	0	0
"Sewage Sludge Digestion"	"Galashiels WWTW CHP"	"Galashiels WWTW CHP"	"Scotland"	0.124	0.124	0	0	0	0
"Biomass"	"Roxan FDBL Generator"	"Roxan FDBL Generator"	"Scotland"	0.08	0.08	0	0	0	0
"Photovoltaics"	"Cairnhill Farm solar park"	"Cairnhill Farm solar park"	"Scotland"	3.0906	3.0906	0	0	0	0
"Biomass"	"Pulteney Distillery"	"Pulteney Distillery"	"Scotland"	3.5	3.5	0	0	0	0
"Wind Onshore"	"Gremista Wind Farm (Luggies Knowe)"	"Gremista Wind Farm (Luggies Knowe)"	"Scotland"	3	3	0	0	0	0
"Wind Onshore"	"Srondoire Community Wind Farm"	"Srondoire Community Wind Farm"	"Scotland"	6	6	0	0	0	0
"Photovoltaics"	"Cairnmore Solar Park"	"Cairnmore Solar Park"	"Scotland"	4.32432	4.32432	0	0	0	0
"Biomass"	"Castleton Fruit Ltd"	"Castleton Fruit Ltd"	"Scotland"	0.147	0.147	0	0	0	0
"Wind Onshore"	"Milton of Fisherie Wind Cluster"	"Milton of Fisherie Wind Cluster"	"Scotland"	4.6	4.6	0	0	0	0
"Photovoltaics"	"Brechin WWTW PV"	"Brechin WWTW PV"	"Scotland"	0.2496	0.2496	0	0	0	0
"Photovoltaics"	"Armadale WWTW PV"	"Armadale WWTW PV"	"Scotland"	0.15	0.15	0	0	0	0
"Photovoltaics"	"IOM Solar PV1"	"IOM Solar PV1"	"Scotland"	0.064	0.064	0	0	0	0
"Wind Onshore"	"Woodlands Farm Wind Turbines"	"Woodlands Farm Wind Turbines"	"Scotland"	1.4	1.4	0	0	0	0
"Biomass"	"Scotston CHP Gasifier"	"Scotston CHP Gasifier"	"Scotland"	0.05	0.05	0	0	0	0
"Biomass"	"Speyside CHP"	"Speyside CHP"	"Scotland"	14.99	14.99	0	0	0	0
"Biomass"	"RAH Heliex steam turbine"	"RAH Heliex steam turbine"	"Scotland"	0.11	0.11	0	0	0	0
"Wind Onshore"	"Edintore Wind Farm"	"Edintore Wind Farm (Operational Q4)"	"Scotland"	14.1	14.1	0	0	0	0
"Biomass"	"Burkhardt 1"	"Burkhardt 1"	"Scotland"	0.197	0.197	0	0	0	0
"Wind Onshore"	"Gevens"	"Gevens"	"Scotland"	6.9	6.9	0	0	0	0
"Biomass"	"Duke of Gordon CHP 1"	"Duke of Gordon CHP 1"	"Scotland"	0.094	0.094	0	0	0	0
"Biomass"	"Keilburn Farm CHP"	"Keilburn Farm CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Wind Onshore"	"Clentrie Wind Farm (Gevens)"	"Clentrie Wind Farm (Gevens)"	"Scotland"	6.9	6.9	0	0	0	0
"Biomass"	"Sustainable Power and Research Campus"	"Sustainable Power and Research Campus"	"Scotland"	6.5	6.5	0	0	0	0
"Tidal"	"Ness of Quoys"	"Inner Sound Phase 1A (MeyGen) Ness of Quoys"	"Scotland"	5.7	5.7	0	0	0	0
"Photovoltaics"	"Wormit Photovoltaic_Project"	"Wormit Photovoltaic_Project"	"Scotland"	4.961	4.961	0	0	0	0
"Wind Onshore"	"BROWNIELEYS - 3 WIND TURBINES"	"BROWNIELEYS - 3 WIND TURBINES"	"Scotland"	7.5	7.5	0	0	0	0
"Anaerobic Digestion"	"Messrs GE Booth & Son"	"Savock Farm (Farm AD)"	"Scotland"	0.46	0.46	0	0	0	0
"Wind Onshore"	"Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission)"	"Hill of Tillymorgan (Kirkton Farm) Wind turbines (resubmission)"	"Scotland"	9.6	9.6	0	0	0	0
"Wind Onshore"	"Harburnhead Wind Farm"	"Harburnhead Wind Farm"	"Scotland"	51.7	51.7	0	0	0	0
"Wind Onshore"	"Hill of Glaschyle Wind Farm"	"Hill of Glaschyle Wind Farm"	"Scotland"	27.6	27.6	0	0	0	0
"Wind Onshore"	"Quixwood Moor"	"Quixwood Moor"	"Scotland"	29.9	29.9	0	0	0	0
"Biomass"	"Arisaig CHP"	"Arisaig CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"Hevac Biogas"	"Hevac Biogas"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"Outertown Farm"	"Outertown Farm"	"Scotland"	0.04	0.04	0	0	0	0
"Biomass"	"Parkview CHP"	"Parkview CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"We Hae Meat CHP"	"We Hae Meat CHP"	"Scotland"	0.08	0.08	0	0	0	0
"Landfill Gas"	"Lingerton Microgeneration Project"	"Lingerton Microgeneration Project"	"Scotland"	0.05	0.05	0	0	0	0
"Wind Onshore"	"Kinegar Quarry (resubmission)"	"Kinegar Quarry (resubmission)"	"Scotland"	5	5	0	0	0	0
"Tidal"	"EMEC Berth 5"	"EMEC Berth 5"	"Scotland"	2	2	0	0	0	0
"Tidal"	"Tocardo EMEC Array"	"Tocardo EMEC Array"	"Scotland"	1.451	1.451	0	0	0	0
"Tidal"	"S G E Tidal Array"	"S G E Tidal Array"	"Scotland"	0.5	0.5	0	0	0	0
"Biomass"	"East Reston Farm CHP"	"East Reston Farm CHP"	"Scotland"	0.076	0.076	0	0	0	0
"Biomass"	"Ignis Wick CHP"	"Ignis Wick CHP"	"Scotland"	0.197	0.197	0	0	0	0
"Landfill Gas"	"Longman Microgeneration"	"Longman Microgeneration"	"Scotland"	0.065	0.065	0	0	0	0
"Landfill Gas"	"Seater Microgeneration"	"Seater Microgeneration"	"Scotland"	0.05	0.05	0	0	0	0
"Landfill Gas"	"Crow's Nest Microgeneration Project"	"Crow's Nest Microgeneration Project"	"Scotland"	0.065	0.065	0	0	0	0
"Photovoltaics"	"Aldi Bathgate RDC"	"Aldi Bathgate RDC"	"Scotland"	0.8	0.8	0	0	0	0
"Wind Onshore"	"Lochend Wind Farm"	"Lochend Wind Farm"	"Scotland"	9.2	9.2	0	0	0	0
"Wind Onshore"	"Brotherton (formerly Paul Matthew Hill wind turbines)"	"Brotherton Wind Farm"	"Scotland"	4.6	4.6	0	0	0	0
"Wind Onshore"	"Hoprigshiels Community Wind Farm"	"Hoprigshiels Community Wind Farm"	"Scotland"	6.9	6.9	0	0	0	0
"Wind Onshore"	"Glen App"	"Glen App"	"Scotland"	22	22	0	0	0	0
"Shoreline Wave"	"Billia Croo berth 5"	"Billia Croo berth 5"	"Scotland"	0.96	0.96	0	0	0	0
"Biomass"	"Glenborrodale Biomass CHP"	"Glenborrodale Biomass CHP"	"Scotland"	0.225	0.225	0	0	0	0
"Biomass"	"Mains of Fortrie CHP"	"Mains of Fortrie CHP"	"Scotland"	0.076	0.076	0	0	0	0
"Biomass"	"Old Ballikinrain"	"Old Ballikinrain"	"Scotland"	0.076	0.076	0	0	0	0
"Biomass"	"Auchencheyne CHP"	"Auchencheyne CHP"	"Scotland"	0.133	0.133	0	0	0	0
"Anaerobic Digestion"	"Camieston Biogas"	"Camieston Biogas (Farm AD)"	"Scotland"	0.499	0.499	0	0	0	0
"Biomass"	"Balmachie Farm CHP"	"Balmachie Farm CHP"	"Scotland"	0.086	0.086	0	0	0	0
"Biomass"	"Forthar Farm CHP"	"Forthar Farm CHP"	"Scotland"	0.1275	0.1275	0	0	0	0
"Wind Onshore"	"Drumduff Wind Farm"	"Drumduff Wind Farm"	"Scotland"	8.53	8.53	0	0	0	0
"Biomass"	"Robston House Farm CHP"	"Robston House Farm CHP"	"Scotland"	0.1275	0.1275	0	0	0	0
"Biomass"	"Adam Wilson & Sons 1"	"Adam Wilson & Sons 1"	"Scotland"	2.464	2.464	0	0	0	0
"Biomass"	"Dronley Farm CHP"	"Dronley Farm CHP"	"Scotland"	0.0623	0.0623	0	0	0	0
"Biomass"	"Kelloe Mains ORC Generator"	"Kelloe Mains ORC Generator"	"Scotland"	0.0645	0.0645	0	0	0	0
"Anaerobic Digestion"	"Tornagrain Gas Mill"	"Tornagrain Gas Mill (Unknown)"	"Scotland"	0.46	0.46	0	0	0	0
"Anaerobic Digestion"	"Inchdairnie Renewable Energy"	"Inchdairnie Renewable Energy (Farm AD)"	"Scotland"	0.46	0.46	0	0	0	0
"Anaerobic Digestion"	"Stracathro Renewable Energy"	"Stracathro Renewable Energy (Unknown)"	"Scotland"	0.46	0.46	0	0	0	0
"Biomass"	"Lemington Farm CHP"	"Lemington Farm CHP"	"Scotland"	0.188	0.188	0	0	0	0
"Biomass"	"Arnhall Farm CHP"	"Arnhall Farm CHP"	"Scotland"	0.047	0.047	0	0	0	0
"Biomass"	"Glenskinno CHP"	"Glenskinno CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"Loanhead Farm CHP"	"Loanhead Farm CHP"	"Scotland"	0.04	0.04	0	0	0	0
"Biomass"	"Piperdam Golf Club CHP"	"Piperdam Golf Club CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"Raehills Estate CHP"	"Raehills Estate CHP"	"Scotland"	0.04	0.04	0	0	0	0
"Anaerobic Digestion"	"Glasgow Renewable Energy and Recycling Centre (Waste AD)"	"Glasgow Renewable Energy and Recycling Centre (Waste AD)"	"Scotland"	5	5	0	0	0	0
"Wind Onshore"	"Welton Of Creuchies"	"Welton Of Creuchies"	"Scotland"	9.2	9.2	0	0	0	0
"Wind Onshore"	"Aikengall II, Wester Dod Community Wind Farm"	"Aikengall II Windfarm"	"Scotland"	60.8	60.8	0	0	0	0
"Wind Onshore"	"Wathegar 2 Wind Farm"	"Wathegar 2 Wind Farm"	"Scotland"	18.45	18.45	0	0	0	0
"Biomass"	"Harbour Road"	"Harbour Road"	"Scotland"	2.55	2.55	0	0	0	0
"Biomass"	"DMTN Ltd ORC"	"DMTN Ltd ORC"	"Scotland"	0.175	0.175	0	0	0	0
"Wind Onshore"	"Deuchries"	"Deuchries"	"Scotland"	6.9	6.9	0	0	0	0
"Wind Onshore"	"Sanquhar Community Windfarm"	"Sanquhar Community Windfarm"	"Scotland"	31	31	0	0	0	0
"Biomass"	"Tayside Forestry CHP"	"Tayside Forestry CHP"	"Scotland"	0.0523	0.0523	0	0	0	0
"Biomass"	"South Cassochie Farm ORC"	"South Cassochie Farm ORC"	"Scotland"	0.1488	0.1488	0	0	0	0
"Biomass"	"Mein Farming Ltd - Gas Engine Systems 1 & 2"	"Mein Farming Ltd - Gas Engine Systems 1 & 2"	"Scotland"	0.09	0.09	0	0	0	0
"Wind Onshore"	"Emly Bank RO"	"Emly Bank RO"	"Scotland"	15	15	0	0	0	0
"Biomass"	"Liberty Steel Lochaber"	"Liberty Steel Lochaber"	"Scotland"	17.32	17.32	0	0	0	0
"Biomass"	"Angus Hotel CHP"	"Angus Hotel CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"Cowley CHP"	"Cowley CHP"	"Scotland"	0.045	0.045	0	0	0	0
"Biomass"	"Levenseat EfW"	"Levenseat EfW"	"Scotland"	12.5	12.5	0	0	0	0
"Tidal"	"Floating Energy Generation Platform - ATIR"	"Floating Energy Generation Platform - ATIR"	"Scotland"	2	2	0	0	0	0
"Biomass"	"Blackstoun Home Farm CHP"	"Blackstoun Home Farm CHP"	"Scotland"	0.088	0.088	0	0	0	0
"Biomass"	"Border Biofuels"	"Border Biofuels"	"Scotland"	0.076	0.076	0	0	0	0
"Biomass"	"Border Biofuels 2 ltd"	"Border Biofuels 2 ltd"	"Scotland"	0.224	0.224	0	0	0	0
"Biomass"	"Dalquhandy CHP"	"Dalquhandy CHP"	"Scotland"	1.02	1.02	0	0	0	0
"Biomass"	"Liberty Steel Dalzell"	"Liberty Steel Dalzell"	"Scotland"	17.43	17.43	0	0	0	0
"Biomass"	"Myreton of Claverhouse Farm CHP"	"Myreton of Claverhouse Farm CHP"	"Scotland"	0.092	0.092	0	0	0	0
"Biomass"	"Towngate CHP"	"Towngate CHP"	"Scotland"	0.0523	0.0523	0	0	0	0
"Biomass"	"Broombank Farm CHP"	"Broombank Farm CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Biomass"	"Gartmore CHP"	"Gartmore CHP"	"Scotland"	0.049	0.049	0	0	0	0
"Wind Onshore"	"Afton Wind Farm"	"Afton Wind Farm"	"Scotland"	50	50	0	0	0	0
"Wind Onshore"	"Keith Hill (resubmission)"	"Keith Hill (resubmission)"	"Scotland"	4.5	4.5	0	0	0	0
"Biomass"	"MMM Resources Gasifier"	"MMM Resources Gasifier"	"Scotland"	0.135	0.135	0	0	0	0
"Wind Onshore"	"Auchadaduie Wind Farm"	"Auchadaduie Wind Farm"	"Scotland"	7.05	7.05	0	0	0	0
"Biomass"	"Acharn Forest Killin Biomass Plant"	"Acharn Forest Killin Biomass Plant"	"Scotland"	5.6	5.6	0	0	0	0
"Tidal"	"Magallanes (FoW - EMEC)"	"Magallanes (FoW - EMEC)"	"Scotland"	2	2	0	0	0	0
"Anaerobic Digestion"	"Hatton Farm AD"	"Hatton Farm AD/Grissan Carnside Limited (Farm AD)"	"Scotland"	0.993	0.993	0	0	0	0
"Anaerobic Digestion"	"Portgordon Maltings"	"Portgordon Maltings/Grissan Portside Limited (Farm AD)"	"Scotland"	1.013	1.013	0	0	0	0
"Biomass"	"Campbell Fuel CHP"	"Campbell Fuel CHP"	"Scotland"	0.094	0.094	0	0	0	0
"Wind Offshore"	"Kincardine Offshore Windfarm - Phase 1"	"Kincardine Offshore Windfarm - Phase 1"	"Scotland"	10	2	0	0	0	0
"Biomass"	"Cardryne CHP"	"Cardryne CHP"	"Scotland"	0.1246	0.1246	0	0	0	0
"Wind Onshore"	"Achlachan"	"Achlachan"	"Scotland"	10.25	10.25	0	0	0	0
"Wind Onshore"	"Coire Na Cloiche"	"Coire Na Cloiche"	"Scotland"	29.9	29.9	0	0	0	0
"Municipal Solid Waste Combustion"	"Glasgow Renewable Energy and Recycling Centre"	"Glasgow Renewable Energy and Recycling Centre"	"Scotland"	15.057	15.057	0	0	0	0
"Wind Onshore"	"Pitkinnie Wind Turbine (Forsyth)"	"Pitkinnie Wind Turbine (Forsyth)"	"Scotland"	0.225	0.225	0	0	0	0
"Small Hydro"	"Saline ROC"	"Saline ROC"	"Scotland"	0.09	0.09	0	0	0	0
"Municipal Solid Waste Combustion"	"Viridor"	"Dunbar"	"Scotland"	36.78	36.78	0	0	0	0
"Wind Onshore"	"Binn Eco Park"	"Binn Eco Park"	"Scotland"	9.2	9.2	0	0	0	0
"Wind Onshore"	"Locheport Community Windfarm (Resubmission)"	"Locheport Community Windfarm (Resubmission)"	"Scotland"	1.8	1.8	0	0	0	0
"Wind Onshore"	"Nether Fauldhouse Farm"	"Nether Fauldhouse Farm"	"Scotland"	0.5	0.5	0	0	0	0
"Photovoltaics"	"Invergordon Academy"	"Invergordon Academy"	"Scotland"	0.2	0.2	0	0	0	0
"Photovoltaics"	"Lochaber High School (Resubmission)"	"Lochaber High School (Resubmission)"	"Scotland"	0.27	0.27	0	0	0	0
"Photovoltaics"	"Parkhill Solar Farm"	"Parkhill Solar Farm"	"Scotland"	4.99	4.99	0	0	0	0
"Photovoltaics"	"St Margarets Bay"	"St Margarets Bay"	"Scotland"	0.23	0.23	0	0	0	0
"Small Hydro"	"Birkhall Estate"	"Birkhall Estate"	"Scotland"	2	2	0	0	0	0
"Photovoltaics"	"Finmont Service Reservoir"	"Finmont Service Reservoir"	"Scotland"	0.25	0.25	0	0	0	0
"Anaerobic Digestion"	"Angus Hotel CHP_Extension"	"Angus Hotel CHP_Extension (Waste AD)"	"Scotland"	0.23	0.23	0	0	0	0
"Wind Onshore"	"Inverclyde (Greenock Resubmission)"	"Inverclyde (Greenock Resubmission)"	"Scotland"	24	24	0	0	0	0
"Wind Onshore"	"Tralorg"	"Tralorg"	"Scotland"	18.8	18.8	0	0	0	0
"Wind Onshore"	"Aftonlea"	"Aftonlea"	"Scotland"	0.9	0.9	0	0	0	0
"Wind Onshore"	"Burnbrae Farm (Strathaven)"	"Burnbrae Farm (Strathaven)"	"Scotland"	0.9	0.9	0	0	0	0
"Wind Onshore"	"Greenhill Croft Tubine 2"	"Greenhill Croft Tubine 2"	"Scotland"	2.3	2.3	0	0	0	0
"Anaerobic Digestion"	"TECA AD"	"TECA AD (Waste AD)"	"Scotland"	0.35	0	0	0	0	0
"Wind Onshore"	"Westerglen Farm"	"Westerglen Farm"	"Scotland"	0.9	0	0	0	0	0
"Wind Onshore"	"Windy Rig Wind Farm"	"Windy Rig Wind Farm"	"Scotland"	43	0	0	0	0	0
"Wind Onshore"	"Lower Rumster"	"Lower Rumster"	"Scotland"	0.2	0	0	0	0	0
"Anaerobic Digestion"	"Lochtower AD"	"Lochtower AD"	"Scotland"	0.55225	0	0	0	0	0
"Wind Onshore"	"Crossdykes (Community Share)"	"Crossdykes (Community Share)"	"Scotland"	48	0	0	0	0	0
"Wind Onshore"	"Douglas West & Dalquhandy"	"Douglas West & Dalquhandy"	"Scotland"	46.8	0	0	0	0	0
"Wind Onshore"	"Kincardine Phase 2"	"Kincardine Phase 2"	"Scotland"	48	0	0	0	0	0
"Small Hydro"	"Glen Kinglass"	"Glen Kinglass"	"Scotland"	1	0	0	0	0	0
