"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2011TotalCooling and ventilationHeat sold"	2011	"Total"	"Cooling and ventilation"	"Heat sold"	0.03
"2011TotalLighting and appliancesHeat sold"	2011	"Total"	"Lighting and appliances"	"Heat sold"	0
"2011TotalMotorsHeat sold"	2011	"Total"	"Motors"	"Heat sold"	0
"2011TotalCompressed airHeat sold"	2011	"Total"	"Compressed air"	"Heat sold"	0
"2011TotalRefrigerationHeat sold"	2011	"Total"	"Refrigeration"	"Heat sold"	0
"2011TotalOtherHeat sold"	2011	"Total"	"Other"	"Heat sold"	6.72
"2011TotalTransportHeat sold"	2011	"Total"	"Transport"	"Heat sold"	0
"2011TotalNon-heat totalHeat sold"	2011	"Total"	"Non-heat total"	"Heat sold"	6.75
"2011TotalOverall totalHeat sold"	2011	"Total"	"Overall total"	"Heat sold"	1206.06
"2011TotalOverall total excluding transportHeat sold"	2011	"Total"	"Overall total excluding transport"	"Heat sold"	1206.06
"2010DomesticSpace heatingHeat sold"	2010	"Domestic"	"Space heating"	"Heat sold"	51.93
"2010DomesticWater heatingHeat sold"	2010	"Domestic"	"Water heating"	"Heat sold"	0
"2010DomesticCooking/cateringHeat sold"	2010	"Domestic"	"Cooking/catering"	"Heat sold"	0
"2010DomesticHeat totalHeat sold"	2010	"Domestic"	"Heat total"	"Heat sold"	51.93
"2010DomesticLighting and appliancesHeat sold"	2010	"Domestic"	"Lighting and appliances"	"Heat sold"	0
"2010DomesticOverall totalHeat sold"	2010	"Domestic"	"Overall total"	"Heat sold"	51.93
"2010ServiceSpace heatingHeat sold"	2010	"Service"	"Space heating"	"Heat sold"	305.31
"2010ServiceWater heatingHeat sold"	2010	"Service"	"Water heating"	"Heat sold"	56.05
"2010ServiceCooking/cateringHeat sold"	2010	"Service"	"Cooking/catering"	"Heat sold"	24.04
"2010ServiceHeat totalHeat sold"	2010	"Service"	"Heat total"	"Heat sold"	385.39
"2010ServiceComputingHeat sold"	2010	"Service"	"Computing"	"Heat sold"	0
"2010ServiceCooling and ventilationHeat sold"	2010	"Service"	"Cooling and ventilation"	"Heat sold"	0.07
"2010ServiceLightingHeat sold"	2010	"Service"	"Lighting"	"Heat sold"	0
"2010ServiceOtherHeat sold"	2010	"Service"	"Other"	"Heat sold"	6.84
"2010ServiceOverall totalHeat sold"	2010	"Service"	"Overall total"	"Heat sold"	392.3
"2010IndustrySpace heatingHeat sold"	2010	"Industry"	"Space heating"	"Heat sold"	822.15
"2010IndustryHigh temperature processHeat sold"	2010	"Industry"	"High temperature process"	"Heat sold"	0
"2010IndustryLow temperature processHeat sold"	2010	"Industry"	"Low temperature process"	"Heat sold"	0
"2010IndustryDrying/separationHeat sold"	2010	"Industry"	"Drying/separation"	"Heat sold"	0
"2010IndustryHeat totalHeat sold"	2010	"Industry"	"Heat total"	"Heat sold"	822.15
"2010IndustryMotorsHeat sold"	2010	"Industry"	"Motors"	"Heat sold"	0
"2010IndustryCompressed airHeat sold"	2010	"Industry"	"Compressed air"	"Heat sold"	0
"2010IndustryLightingHeat sold"	2010	"Industry"	"Lighting"	"Heat sold"	0
"2010IndustryRefrigerationHeat sold"	2010	"Industry"	"Refrigeration"	"Heat sold"	0
"2010IndustryOtherHeat sold"	2010	"Industry"	"Other"	"Heat sold"	0
"2010IndustryOverall totalHeat sold"	2010	"Industry"	"Overall total"	"Heat sold"	822.15
"2010TransportNon-heat purposesHeat sold"	2010	"Transport"	"Non-heat purposes"	"Heat sold"	0
"2010TotalSpace heatingHeat sold"	2010	"Total"	"Space heating"	"Heat sold"	1179.39
"2010TotalWater heatingHeat sold"	2010	"Total"	"Water heating"	"Heat sold"	56.05
"2010TotalCooking/cateringHeat sold"	2010	"Total"	"Cooking/catering"	"Heat sold"	24.04
"2010TotalProcess useHeat sold"	2010	"Total"	"Process use"	"Heat sold"	0
"2010TotalDrying/separationHeat sold"	2010	"Total"	"Drying/separation"	"Heat sold"	0
"2010TotalHeat totalHeat sold"	2010	"Total"	"Heat total"	"Heat sold"	1259.48
"2010TotalComputingHeat sold"	2010	"Total"	"Computing"	"Heat sold"	0
"2010TotalCooling and ventilationHeat sold"	2010	"Total"	"Cooling and ventilation"	"Heat sold"	0.07
"2010TotalLighting and appliancesHeat sold"	2010	"Total"	"Lighting and appliances"	"Heat sold"	0
"2010TotalMotorsHeat sold"	2010	"Total"	"Motors"	"Heat sold"	0
"2010TotalCompressed airHeat sold"	2010	"Total"	"Compressed air"	"Heat sold"	0
"2010TotalRefrigerationHeat sold"	2010	"Total"	"Refrigeration"	"Heat sold"	0
"2010TotalOtherHeat sold"	2010	"Total"	"Other"	"Heat sold"	6.84
"2010TotalTransportHeat sold"	2010	"Total"	"Transport"	"Heat sold"	0
"2010TotalNon-heat totalHeat sold"	2010	"Total"	"Non-heat total"	"Heat sold"	6.9
"2010TotalOverall totalHeat sold"	2010	"Total"	"Overall total"	"Heat sold"	1266.38
"2010TotalOverall total excluding transportHeat sold"	2010	"Total"	"Overall total excluding transport"	"Heat sold"	1266.38
"2015DomesticSpace heatingBioenergy & Waste"	2015	"Domestic"	"Space heating"	"Bioenergy & Waste"	1957.64
"2015DomesticWater heatingBioenergy & Waste"	2015	"Domestic"	"Water heating"	"Bioenergy & Waste"	122.21
"2015DomesticCooking/cateringBioenergy & Waste"	2015	"Domestic"	"Cooking/catering"	"Bioenergy & Waste"	0
"2015DomesticHeat totalBioenergy & Waste"	2015	"Domestic"	"Heat total"	"Bioenergy & Waste"	2079.85
"2015DomesticLighting and appliancesBioenergy & Waste"	2015	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2015DomesticOverall totalBioenergy & Waste"	2015	"Domestic"	"Overall total"	"Bioenergy & Waste"	2079.85
"2015ServiceSpace heatingBioenergy & Waste"	2015	"Service"	"Space heating"	"Bioenergy & Waste"	789.36
"2015ServiceWater heatingBioenergy & Waste"	2015	"Service"	"Water heating"	"Bioenergy & Waste"	102.21
"2015ServiceCooking/cateringBioenergy & Waste"	2015	"Service"	"Cooking/catering"	"Bioenergy & Waste"	0
"2015ServiceHeat totalBioenergy & Waste"	2015	"Service"	"Heat total"	"Bioenergy & Waste"	891.57
"2015ServiceComputingBioenergy & Waste"	2015	"Service"	"Computing"	"Bioenergy & Waste"	0
"2015ServiceCooling and ventilationBioenergy & Waste"	2015	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2015ServiceLightingBioenergy & Waste"	2015	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2015ServiceOtherBioenergy & Waste"	2015	"Service"	"Other"	"Bioenergy & Waste"	170.19
"2015ServiceOverall totalBioenergy & Waste"	2015	"Service"	"Overall total"	"Bioenergy & Waste"	1061.76
"2015IndustrySpace heatingBioenergy & Waste"	2015	"Industry"	"Space heating"	"Bioenergy & Waste"	875.26
"2015IndustryHigh temperature processBioenergy & Waste"	2015	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2015IndustryLow temperature processBioenergy & Waste"	2015	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2015IndustryDrying/separationBioenergy & Waste"	2015	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2015IndustryHeat totalBioenergy & Waste"	2015	"Industry"	"Heat total"	"Bioenergy & Waste"	875.26
"2015IndustryMotorsBioenergy & Waste"	2015	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2015IndustryCompressed airBioenergy & Waste"	2015	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2015IndustryLightingBioenergy & Waste"	2015	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2015IndustryRefrigerationBioenergy & Waste"	2015	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2015IndustryOtherBioenergy & Waste"	2015	"Industry"	"Other"	"Bioenergy & Waste"	0
"2015IndustryOverall totalBioenergy & Waste"	2015	"Industry"	"Overall total"	"Bioenergy & Waste"	875.26
"2015TransportNon-heat purposesBioenergy & Waste"	2015	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	997.79
"2015TotalSpace heatingBioenergy & Waste"	2015	"Total"	"Space heating"	"Bioenergy & Waste"	3622.26
"2015TotalWater heatingBioenergy & Waste"	2015	"Total"	"Water heating"	"Bioenergy & Waste"	224.41
"2015TotalCooking/cateringBioenergy & Waste"	2015	"Total"	"Cooking/catering"	"Bioenergy & Waste"	0
"2015TotalProcess useBioenergy & Waste"	2015	"Total"	"Process use"	"Bioenergy & Waste"	0
"2015TotalDrying/separationBioenergy & Waste"	2015	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2015TotalHeat totalBioenergy & Waste"	2015	"Total"	"Heat total"	"Bioenergy & Waste"	3846.67
"2015TotalComputingBioenergy & Waste"	2015	"Total"	"Computing"	"Bioenergy & Waste"	0
"2015TotalCooling and ventilationBioenergy & Waste"	2015	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2015TotalLighting and appliancesBioenergy & Waste"	2015	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2015TotalMotorsBioenergy & Waste"	2015	"Total"	"Motors"	"Bioenergy & Waste"	0
"2015TotalCompressed airBioenergy & Waste"	2015	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2015TotalRefrigerationBioenergy & Waste"	2015	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2015TotalOtherBioenergy & Waste"	2015	"Total"	"Other"	"Bioenergy & Waste"	170.19
"2015TotalTransportBioenergy & Waste"	2015	"Total"	"Transport"	"Bioenergy & Waste"	997.79
"2015TotalNon-heat totalBioenergy & Waste"	2015	"Total"	"Non-heat total"	"Bioenergy & Waste"	1167.99
"2015TotalOverall totalBioenergy & Waste"	2015	"Total"	"Overall total"	"Bioenergy & Waste"	5014.66
"2015TotalOverall total excluding transportBioenergy & Waste"	2015	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	4016.86
"2014DomesticSpace heatingBioenergy & Waste"	2014	"Domestic"	"Space heating"	"Bioenergy & Waste"	1369.02
"2014DomesticWater heatingBioenergy & Waste"	2014	"Domestic"	"Water heating"	"Bioenergy & Waste"	468.35
"2014DomesticCooking/cateringBioenergy & Waste"	2014	"Domestic"	"Cooking/catering"	"Bioenergy & Waste"	0
"2014DomesticHeat totalBioenergy & Waste"	2014	"Domestic"	"Heat total"	"Bioenergy & Waste"	1837.36
"2014DomesticLighting and appliancesBioenergy & Waste"	2014	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2014DomesticOverall totalBioenergy & Waste"	2014	"Domestic"	"Overall total"	"Bioenergy & Waste"	1837.36
"2014ServiceSpace heatingBioenergy & Waste"	2014	"Service"	"Space heating"	"Bioenergy & Waste"	145.12
"2014ServiceWater heatingBioenergy & Waste"	2014	"Service"	"Water heating"	"Bioenergy & Waste"	19.39
"2014ServiceCooking/cateringBioenergy & Waste"	2014	"Service"	"Cooking/catering"	"Bioenergy & Waste"	1.27
"2014ServiceHeat totalBioenergy & Waste"	2014	"Service"	"Heat total"	"Bioenergy & Waste"	165.78
"2014ServiceComputingBioenergy & Waste"	2014	"Service"	"Computing"	"Bioenergy & Waste"	0
"2014ServiceCooling and ventilationBioenergy & Waste"	2014	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2014ServiceLightingBioenergy & Waste"	2014	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2014ServiceOtherBioenergy & Waste"	2014	"Service"	"Other"	"Bioenergy & Waste"	0
"2014ServiceOverall totalBioenergy & Waste"	2014	"Service"	"Overall total"	"Bioenergy & Waste"	165.78
"2014IndustrySpace heatingBioenergy & Waste"	2014	"Industry"	"Space heating"	"Bioenergy & Waste"	594.11
"2014IndustryHigh temperature processBioenergy & Waste"	2014	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2014IndustryLow temperature processBioenergy & Waste"	2014	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2014IndustryDrying/separationBioenergy & Waste"	2014	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2014IndustryHeat totalBioenergy & Waste"	2014	"Industry"	"Heat total"	"Bioenergy & Waste"	594.11
"2014IndustryMotorsBioenergy & Waste"	2014	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2014IndustryCompressed airBioenergy & Waste"	2014	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2014IndustryLightingBioenergy & Waste"	2014	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2014IndustryRefrigerationBioenergy & Waste"	2014	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2014IndustryOtherBioenergy & Waste"	2014	"Industry"	"Other"	"Bioenergy & Waste"	0
"2014IndustryOverall totalBioenergy & Waste"	2014	"Industry"	"Overall total"	"Bioenergy & Waste"	594.11
"2014TransportNon-heat purposesBioenergy & Waste"	2014	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	1242.67
"2014TotalSpace heatingBioenergy & Waste"	2014	"Total"	"Space heating"	"Bioenergy & Waste"	2108.24
"2014TotalWater heatingBioenergy & Waste"	2014	"Total"	"Water heating"	"Bioenergy & Waste"	487.74
"2014TotalCooking/cateringBioenergy & Waste"	2014	"Total"	"Cooking/catering"	"Bioenergy & Waste"	1.27
"2014TotalProcess useBioenergy & Waste"	2014	"Total"	"Process use"	"Bioenergy & Waste"	0
"2014TotalDrying/separationBioenergy & Waste"	2014	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2014TotalHeat totalBioenergy & Waste"	2014	"Total"	"Heat total"	"Bioenergy & Waste"	2597.25
"2014TotalComputingBioenergy & Waste"	2014	"Total"	"Computing"	"Bioenergy & Waste"	0
"2014TotalCooling and ventilationBioenergy & Waste"	2014	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2014TotalLighting and appliancesBioenergy & Waste"	2014	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2014TotalMotorsBioenergy & Waste"	2014	"Total"	"Motors"	"Bioenergy & Waste"	0
"2014TotalCompressed airBioenergy & Waste"	2014	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2014TotalRefrigerationBioenergy & Waste"	2014	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2014TotalOtherBioenergy & Waste"	2014	"Total"	"Other"	"Bioenergy & Waste"	0
"2014TotalTransportBioenergy & Waste"	2014	"Total"	"Transport"	"Bioenergy & Waste"	1242.67
"2014TotalNon-heat totalBioenergy & Waste"	2014	"Total"	"Non-heat total"	"Bioenergy & Waste"	1242.67
"2014TotalOverall totalBioenergy & Waste"	2014	"Total"	"Overall total"	"Bioenergy & Waste"	3839.91
"2014TotalOverall total excluding transportBioenergy & Waste"	2014	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	2597.25
"2013DomesticSpace heatingBioenergy & Waste"	2013	"Domestic"	"Space heating"	"Bioenergy & Waste"	1426.16
"2013DomesticWater heatingBioenergy & Waste"	2013	"Domestic"	"Water heating"	"Bioenergy & Waste"	487.9
"2013DomesticCooking/cateringBioenergy & Waste"	2013	"Domestic"	"Cooking/catering"	"Bioenergy & Waste"	0
"2013DomesticHeat totalBioenergy & Waste"	2013	"Domestic"	"Heat total"	"Bioenergy & Waste"	1914.06
"2013DomesticLighting and appliancesBioenergy & Waste"	2013	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2013DomesticOverall totalBioenergy & Waste"	2013	"Domestic"	"Overall total"	"Bioenergy & Waste"	1914.06
"2013ServiceSpace heatingBioenergy & Waste"	2013	"Service"	"Space heating"	"Bioenergy & Waste"	154.89
"2013ServiceWater heatingBioenergy & Waste"	2013	"Service"	"Water heating"	"Bioenergy & Waste"	21.62
"2013ServiceCooking/cateringBioenergy & Waste"	2013	"Service"	"Cooking/catering"	"Bioenergy & Waste"	1.36
"2013ServiceHeat totalBioenergy & Waste"	2013	"Service"	"Heat total"	"Bioenergy & Waste"	177.86
"2013ServiceComputingBioenergy & Waste"	2013	"Service"	"Computing"	"Bioenergy & Waste"	0
"2013ServiceCooling and ventilationBioenergy & Waste"	2013	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2013ServiceLightingBioenergy & Waste"	2013	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2013ServiceOtherBioenergy & Waste"	2013	"Service"	"Other"	"Bioenergy & Waste"	0
"2013ServiceOverall totalBioenergy & Waste"	2013	"Service"	"Overall total"	"Bioenergy & Waste"	177.86
"2013IndustrySpace heatingBioenergy & Waste"	2013	"Industry"	"Space heating"	"Bioenergy & Waste"	576.94
"2013IndustryHigh temperature processBioenergy & Waste"	2013	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2013IndustryLow temperature processBioenergy & Waste"	2013	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2013IndustryDrying/separationBioenergy & Waste"	2013	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2013IndustryHeat totalBioenergy & Waste"	2013	"Industry"	"Heat total"	"Bioenergy & Waste"	576.94
"2013IndustryMotorsBioenergy & Waste"	2013	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2013IndustryCompressed airBioenergy & Waste"	2013	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2013IndustryLightingBioenergy & Waste"	2013	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2013IndustryRefrigerationBioenergy & Waste"	2013	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2013IndustryOtherBioenergy & Waste"	2013	"Industry"	"Other"	"Bioenergy & Waste"	0
"2013IndustryOverall totalBioenergy & Waste"	2013	"Industry"	"Overall total"	"Bioenergy & Waste"	576.94
"2013TransportNon-heat purposesBioenergy & Waste"	2013	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	1091.58
"2013TotalSpace heatingBioenergy & Waste"	2013	"Total"	"Space heating"	"Bioenergy & Waste"	2157.99
"2013TotalWater heatingBioenergy & Waste"	2013	"Total"	"Water heating"	"Bioenergy & Waste"	509.51
"2013TotalCooking/cateringBioenergy & Waste"	2013	"Total"	"Cooking/catering"	"Bioenergy & Waste"	1.36
"2013TotalProcess useBioenergy & Waste"	2013	"Total"	"Process use"	"Bioenergy & Waste"	0
"2013TotalDrying/separationBioenergy & Waste"	2013	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2013TotalHeat totalBioenergy & Waste"	2013	"Total"	"Heat total"	"Bioenergy & Waste"	2668.86
"2013TotalComputingBioenergy & Waste"	2013	"Total"	"Computing"	"Bioenergy & Waste"	0
"2013TotalCooling and ventilationBioenergy & Waste"	2013	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2013TotalLighting and appliancesBioenergy & Waste"	2013	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2013TotalMotorsBioenergy & Waste"	2013	"Total"	"Motors"	"Bioenergy & Waste"	0
"2013TotalCompressed airBioenergy & Waste"	2013	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2013TotalRefrigerationBioenergy & Waste"	2013	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2013TotalOtherBioenergy & Waste"	2013	"Total"	"Other"	"Bioenergy & Waste"	0
"2013TotalTransportBioenergy & Waste"	2013	"Total"	"Transport"	"Bioenergy & Waste"	1091.58
"2013TotalNon-heat totalBioenergy & Waste"	2013	"Total"	"Non-heat total"	"Bioenergy & Waste"	1091.58
"2013TotalOverall totalBioenergy & Waste"	2013	"Total"	"Overall total"	"Bioenergy & Waste"	3760.45
"2013TotalOverall total excluding transportBioenergy & Waste"	2013	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	2668.86
"2012DomesticSpace heatingBioenergy & Waste"	2012	"Domestic"	"Space heating"	"Bioenergy & Waste"	1251.28
"2012DomesticWater heatingBioenergy & Waste"	2012	"Domestic"	"Water heating"	"Bioenergy & Waste"	372.35
"2012DomesticCooking/cateringBioenergy & Waste"	2012	"Domestic"	"Cooking/catering"	"Bioenergy & Waste"	0
"2012DomesticHeat totalBioenergy & Waste"	2012	"Domestic"	"Heat total"	"Bioenergy & Waste"	1623.64
"2012DomesticLighting and appliancesBioenergy & Waste"	2012	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2012DomesticOverall totalBioenergy & Waste"	2012	"Domestic"	"Overall total"	"Bioenergy & Waste"	1623.64
"2012ServiceSpace heatingBioenergy & Waste"	2012	"Service"	"Space heating"	"Bioenergy & Waste"	104.26
"2012ServiceWater heatingBioenergy & Waste"	2012	"Service"	"Water heating"	"Bioenergy & Waste"	13.06
"2012ServiceCooking/cateringBioenergy & Waste"	2012	"Service"	"Cooking/catering"	"Bioenergy & Waste"	0.91
"2012ServiceHeat totalBioenergy & Waste"	2012	"Service"	"Heat total"	"Bioenergy & Waste"	118.23
"2012ServiceComputingBioenergy & Waste"	2012	"Service"	"Computing"	"Bioenergy & Waste"	0
"2012ServiceCooling and ventilationBioenergy & Waste"	2012	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2012ServiceLightingBioenergy & Waste"	2012	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2012ServiceOtherBioenergy & Waste"	2012	"Service"	"Other"	"Bioenergy & Waste"	0
"2012ServiceOverall totalBioenergy & Waste"	2012	"Service"	"Overall total"	"Bioenergy & Waste"	118.23
"2012IndustrySpace heatingBioenergy & Waste"	2012	"Industry"	"Space heating"	"Bioenergy & Waste"	488.26
"2012IndustryHigh temperature processBioenergy & Waste"	2012	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2012IndustryLow temperature processBioenergy & Waste"	2012	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2012IndustryDrying/separationBioenergy & Waste"	2012	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2012IndustryHeat totalBioenergy & Waste"	2012	"Industry"	"Heat total"	"Bioenergy & Waste"	488.26
"2012IndustryMotorsBioenergy & Waste"	2012	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2012IndustryCompressed airBioenergy & Waste"	2012	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2012IndustryLightingBioenergy & Waste"	2012	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2012IndustryRefrigerationBioenergy & Waste"	2012	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2012IndustryOtherBioenergy & Waste"	2012	"Industry"	"Other"	"Bioenergy & Waste"	0
"2012IndustryOverall totalBioenergy & Waste"	2012	"Industry"	"Overall total"	"Bioenergy & Waste"	488.26
"2012TransportNon-heat purposesBioenergy & Waste"	2012	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	957.76
"2012TotalSpace heatingBioenergy & Waste"	2012	"Total"	"Space heating"	"Bioenergy & Waste"	1843.81
"2012TotalWater heatingBioenergy & Waste"	2012	"Total"	"Water heating"	"Bioenergy & Waste"	385.41
"2012TotalCooking/cateringBioenergy & Waste"	2012	"Total"	"Cooking/catering"	"Bioenergy & Waste"	0.91
"2012TotalProcess useBioenergy & Waste"	2012	"Total"	"Process use"	"Bioenergy & Waste"	0
"2012TotalDrying/separationBioenergy & Waste"	2012	"Total"	"Drying/separation"	"Bioenergy & Waste"	0
"2012TotalHeat totalBioenergy & Waste"	2012	"Total"	"Heat total"	"Bioenergy & Waste"	2230.12
"2012TotalComputingBioenergy & Waste"	2012	"Total"	"Computing"	"Bioenergy & Waste"	0
"2012TotalCooling and ventilationBioenergy & Waste"	2012	"Total"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2012TotalLighting and appliancesBioenergy & Waste"	2012	"Total"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2012TotalMotorsBioenergy & Waste"	2012	"Total"	"Motors"	"Bioenergy & Waste"	0
"2012TotalCompressed airBioenergy & Waste"	2012	"Total"	"Compressed air"	"Bioenergy & Waste"	0
"2012TotalRefrigerationBioenergy & Waste"	2012	"Total"	"Refrigeration"	"Bioenergy & Waste"	0
"2012TotalOtherBioenergy & Waste"	2012	"Total"	"Other"	"Bioenergy & Waste"	0
"2012TotalTransportBioenergy & Waste"	2012	"Total"	"Transport"	"Bioenergy & Waste"	957.76
"2012TotalNon-heat totalBioenergy & Waste"	2012	"Total"	"Non-heat total"	"Bioenergy & Waste"	957.76
"2012TotalOverall totalBioenergy & Waste"	2012	"Total"	"Overall total"	"Bioenergy & Waste"	3187.89
"2012TotalOverall total excluding transportBioenergy & Waste"	2012	"Total"	"Overall total excluding transport"	"Bioenergy & Waste"	2230.12
"2011DomesticSpace heatingBioenergy & Waste"	2011	"Domestic"	"Space heating"	"Bioenergy & Waste"	1283.35
"2011DomesticWater heatingBioenergy & Waste"	2011	"Domestic"	"Water heating"	"Bioenergy & Waste"	0
"2011DomesticCooking/cateringBioenergy & Waste"	2011	"Domestic"	"Cooking/catering"	"Bioenergy & Waste"	0
"2011DomesticHeat totalBioenergy & Waste"	2011	"Domestic"	"Heat total"	"Bioenergy & Waste"	1283.35
"2011DomesticLighting and appliancesBioenergy & Waste"	2011	"Domestic"	"Lighting and appliances"	"Bioenergy & Waste"	0
"2011DomesticOverall totalBioenergy & Waste"	2011	"Domestic"	"Overall total"	"Bioenergy & Waste"	1283.35
"2011ServiceSpace heatingBioenergy & Waste"	2011	"Service"	"Space heating"	"Bioenergy & Waste"	101.29
"2011ServiceWater heatingBioenergy & Waste"	2011	"Service"	"Water heating"	"Bioenergy & Waste"	10.46
"2011ServiceCooking/cateringBioenergy & Waste"	2011	"Service"	"Cooking/catering"	"Bioenergy & Waste"	0.86
"2011ServiceHeat totalBioenergy & Waste"	2011	"Service"	"Heat total"	"Bioenergy & Waste"	112.62
"2011ServiceComputingBioenergy & Waste"	2011	"Service"	"Computing"	"Bioenergy & Waste"	0
"2011ServiceCooling and ventilationBioenergy & Waste"	2011	"Service"	"Cooling and ventilation"	"Bioenergy & Waste"	0
"2011ServiceLightingBioenergy & Waste"	2011	"Service"	"Lighting"	"Bioenergy & Waste"	0
"2011ServiceOtherBioenergy & Waste"	2011	"Service"	"Other"	"Bioenergy & Waste"	0
"2011ServiceOverall totalBioenergy & Waste"	2011	"Service"	"Overall total"	"Bioenergy & Waste"	112.62
"2011IndustrySpace heatingBioenergy & Waste"	2011	"Industry"	"Space heating"	"Bioenergy & Waste"	530.88
"2011IndustryHigh temperature processBioenergy & Waste"	2011	"Industry"	"High temperature process"	"Bioenergy & Waste"	0
"2011IndustryLow temperature processBioenergy & Waste"	2011	"Industry"	"Low temperature process"	"Bioenergy & Waste"	0
"2011IndustryDrying/separationBioenergy & Waste"	2011	"Industry"	"Drying/separation"	"Bioenergy & Waste"	0
"2011IndustryHeat totalBioenergy & Waste"	2011	"Industry"	"Heat total"	"Bioenergy & Waste"	530.88
"2011IndustryMotorsBioenergy & Waste"	2011	"Industry"	"Motors"	"Bioenergy & Waste"	0
"2011IndustryCompressed airBioenergy & Waste"	2011	"Industry"	"Compressed air"	"Bioenergy & Waste"	0
"2011IndustryLightingBioenergy & Waste"	2011	"Industry"	"Lighting"	"Bioenergy & Waste"	0
"2011IndustryRefrigerationBioenergy & Waste"	2011	"Industry"	"Refrigeration"	"Bioenergy & Waste"	0
"2011IndustryOtherBioenergy & Waste"	2011	"Industry"	"Other"	"Bioenergy & Waste"	0
"2011IndustryOverall totalBioenergy & Waste"	2011	"Industry"	"Overall total"	"Bioenergy & Waste"	530.88
"2011TransportNon-heat purposesBioenergy & Waste"	2011	"Transport"	"Non-heat purposes"	"Bioenergy & Waste"	1127.52
"2011TotalSpace heatingBioenergy & Waste"	2011	"Total"	"Space heating"	"Bioenergy & Waste"	1915.52
"2011TotalWater heatingBioenergy & Waste"	2011	"Total"	"Water heating"	"Bioenergy & Waste"	10.46
