"Lookup"	"Year"	"Sector"	"End Use"	"Fuel"	"Value"
"2016ServiceOtherOil"	2016	"Service"	"Other"	"Oil"	62.4667988310142
"2016ServiceOverall totalOil"	2016	"Service"	"Overall total"	"Oil"	2773.94848415605
"2016IndustrySpace heatingOil"	2016	"Industry"	"Space heating"	"Oil"	133.118217535696
"2016IndustryHigh temperature processOil"	2016	"Industry"	"High temperature process"	"Oil"	179.88860804267
"2016IndustryLow temperature processOil"	2016	"Industry"	"Low temperature process"	"Oil"	259.995654717373
"2016IndustryDrying/separationOil"	2016	"Industry"	"Drying/separation"	"Oil"	77.0069197307143
"2016IndustryUnkown (heat)Oil"	2016	"Industry"	"Unkown (heat)"	"Oil"	0
"2016IndustryHeat totalOil"	2016	"Industry"	"Heat total"	"Oil"	650.009400026453
"2016IndustryMotorsOil"	2016	"Industry"	"Motors"	"Oil"	0
"2016IndustryCompressed airOil"	2016	"Industry"	"Compressed air"	"Oil"	0
"2016IndustryLightingOil"	2016	"Industry"	"Lighting"	"Oil"	0
"2016IndustryRefrigerationOil"	2016	"Industry"	"Refrigeration"	"Oil"	0
"2016IndustryOtherOil"	2016	"Industry"	"Other"	"Oil"	75.2648258643541
"2016IndustryOverall totalOil"	2016	"Industry"	"Overall total"	"Oil"	725.274225890807
"2016TransportNon-heat purposesOil"	2016	"Transport"	"Non-heat purposes"	"Oil"	54576.9092855446
"2016TotalSpace heatingOil"	2016	"Total"	"Space heating"	"Oil"	3761.05331476062
"2016TotalWater heatingOil"	2016	"Total"	"Water heating"	"Oil"	748.895251254377
"2016TotalCooking/cateringOil"	2016	"Total"	"Cooking/catering"	"Oil"	804.507789604611
"2016TotalProcess useOil"	2016	"Total"	"Process use"	"Oil"	439.884262760043
"2016TotalDrying/separationOil"	2016	"Total"	"Drying/separation"	"Oil"	77.0069197307143
"2016TotalUnkown (heat)Oil"	2016	"Total"	"Unkown (heat)"	"Oil"	0
"2016TotalHeat totalOil"	2016	"Total"	"Heat total"	"Oil"	5831.34753811037
"2016TotalComputingOil"	2016	"Total"	"Computing"	"Oil"	0
"2016TotalCooling and ventilationOil"	2016	"Total"	"Cooling and ventilation"	"Oil"	43.0398742623513
"2016TotalLighting and appliancesOil"	2016	"Total"	"Lighting and appliances"	"Oil"	0
"2016TotalMotorsOil"	2016	"Total"	"Motors"	"Oil"	0
"2016TotalCompressed airOil"	2016	"Total"	"Compressed air"	"Oil"	0
"2016TotalRefrigerationOil"	2016	"Total"	"Refrigeration"	"Oil"	0
"2016TotalOtherOil"	2016	"Total"	"Other"	"Oil"	137.731624695368
"2016TotalTransportOil"	2016	"Total"	"Transport"	"Oil"	54576.9092855446
"2016TotalNon-heat totalOil"	2016	"Total"	"Non-heat total"	"Oil"	54757.6807845023
"2016TotalOverall totalOil"	2016	"Total"	"Overall total"	"Oil"	60589.0283226127
"2016TotalOverall total excluding transportOil"	2016	"Total"	"Overall total excluding transport"	"Oil"	6012.11903706809
"2018DomesticSpace heatingSolid Fuel"	2018	"Domestic"	"Space heating"	"Solid Fuel"	504.299508617907
"2018DomesticHeat totalSolid Fuel"	2018	"Domestic"	"Heat total"	"Solid Fuel"	525.370825576263
"2018DomesticLighting and appliancesSolid Fuel"	2018	"Domestic"	"Lighting and appliances"	"Solid Fuel"	0
"2018DomesticOverall totalSolid Fuel"	2018	"Domestic"	"Overall total"	"Solid Fuel"	525.370825576263
"2018ServiceSpace heatingSolid Fuel"	2018	"Service"	"Space heating"	"Solid Fuel"	0
"2018ServiceWater heatingSolid Fuel"	2018	"Service"	"Water heating"	"Solid Fuel"	0
"2018ServiceCooking/cateringSolid Fuel"	2018	"Service"	"Cooking/catering"	"Solid Fuel"	0
"2018ServiceHeat totalSolid Fuel"	2018	"Service"	"Heat total"	"Solid Fuel"	0
"2018ServiceComputingSolid Fuel"	2018	"Service"	"Computing"	"Solid Fuel"	0
"2018ServiceCooling and ventilationSolid Fuel"	2018	"Service"	"Cooling and ventilation"	"Solid Fuel"	0
"2018ServiceLightingSolid Fuel"	2018	"Service"	"Lighting"	"Solid Fuel"	0
"2018ServiceOtherSolid Fuel"	2018	"Service"	"Other"	"Solid Fuel"	0
"2018ServiceOverall totalSolid Fuel"	2018	"Service"	"Overall total"	"Solid Fuel"	0
"2018IndustrySpace heatingSolid Fuel"	2018	"Industry"	"Space heating"	"Solid Fuel"	115.265716181596
"2018IndustryHigh temperature processSolid Fuel"	2018	"Industry"	"High temperature process"	"Solid Fuel"	593.62183842667
"2018IndustryLow temperature processSolid Fuel"	2018	"Industry"	"Low temperature process"	"Solid Fuel"	298.182089960016
"2018IndustryDrying/separationSolid Fuel"	2018	"Industry"	"Drying/separation"	"Solid Fuel"	144.33397591478
"2018IndustryUnkown (heat)Solid Fuel"	2018	"Industry"	"Unkown (heat)"	"Solid Fuel"	0
"2018IndustryHeat totalSolid Fuel"	2018	"Industry"	"Heat total"	"Solid Fuel"	1151.40362048306
"2018IndustryMotorsSolid Fuel"	2018	"Industry"	"Motors"	"Solid Fuel"	0
"2018IndustryCompressed airSolid Fuel"	2018	"Industry"	"Compressed air"	"Solid Fuel"	0
"2018IndustryLightingSolid Fuel"	2018	"Industry"	"Lighting"	"Solid Fuel"	0
"2018IndustryRefrigerationSolid Fuel"	2018	"Industry"	"Refrigeration"	"Solid Fuel"	0
"2018IndustryOtherSolid Fuel"	2018	"Industry"	"Other"	"Solid Fuel"	136.405478196018
"2018IndustryOverall totalSolid Fuel"	2018	"Industry"	"Overall total"	"Solid Fuel"	1287.80909867908
"2018TransportNon-heat purposesSolid Fuel"	2018	"Transport"	"Non-heat purposes"	"Solid Fuel"	10.7669216032342
"2018TotalSpace heatingSolid Fuel"	2018	"Total"	"Space heating"	"Solid Fuel"	619.565224799503
"2018TotalWater heatingSolid Fuel"	2018	"Total"	"Water heating"	"Solid Fuel"	21.0713169583562
"2018TotalCooking/cateringSolid Fuel"	2018	"Total"	"Cooking/catering"	"Solid Fuel"	0
"2018TotalProcess useSolid Fuel"	2018	"Total"	"Process use"	"Solid Fuel"	891.803928386686
"2018TotalDrying/separationSolid Fuel"	2018	"Total"	"Drying/separation"	"Solid Fuel"	144.33397591478
"2018TotalUnkown (heat)Solid Fuel"	2018	"Total"	"Unkown (heat)"	"Solid Fuel"	0
"2018TotalHeat totalSolid Fuel"	2018	"Total"	"Heat total"	"Solid Fuel"	1676.77444605933
"2018TotalComputingSolid Fuel"	2018	"Total"	"Computing"	"Solid Fuel"	0
"2018TotalCooling and ventilationSolid Fuel"	2018	"Total"	"Cooling and ventilation"	"Solid Fuel"	0
"2018TotalLighting and appliancesSolid Fuel"	2018	"Total"	"Lighting and appliances"	"Solid Fuel"	0
"2018TotalMotorsSolid Fuel"	2018	"Total"	"Motors"	"Solid Fuel"	0
"2018TotalCompressed airSolid Fuel"	2018	"Total"	"Compressed air"	"Solid Fuel"	0
"2018TotalRefrigerationSolid Fuel"	2018	"Total"	"Refrigeration"	"Solid Fuel"	0
"2018TotalOtherSolid Fuel"	2018	"Total"	"Other"	"Solid Fuel"	136.405478196018
"2018TotalTransportSolid Fuel"	2018	"Total"	"Transport"	"Solid Fuel"	10.7669216032342
