"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Falkirk"	"Wind Onshore"	"Awaiting Construction"	1	4
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	1	84
"South Lanarkshire"	"Wind Onshore"	"Awaiting Construction"	0	-15.6
"Argyll and Bute"	"Wind Onshore"	"Application Submitted"	1	27
"South Lanarkshire"	"Battery"	"Application Submitted"	1	20
"Shetland Islands"	"Tidal Barrage and Tidal Stream"	"Awaiting Construction"	1	1.4
"Argyll and Bute"	"Wind Onshore"	"Application Submitted"	1	95.2
"Moray"	"Anaerobic Digestion"	"Awaiting Construction"	1	2
"Aberdeen City"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.25
"Fife"	"Solar Photovoltaics"	"Application Submitted"	1	1
"Dumfries and Galloway"	"Wind Onshore"	"Awaiting Construction"	1	48
"Orkney Islands"	"Shoreline Wave"	"Application Submitted"	1	20
"South Lanarkshire"	"Battery"	"Awaiting Construction"	1	20
"Perth and Kinross"	"Battery"	"Awaiting Construction"	1	10
"Angus"	"Battery"	"Awaiting Construction"	1	10
"North Ayrshire"	"Battery"	"Awaiting Construction"	1	20
"South Lanarkshire"	"Battery"	"Awaiting Construction"	1	5
"Argyll and Bute"	"Solar Photovoltaics"	"Application Submitted"	1	20
"Argyll and Bute"	"Battery"	"Application Submitted"	1	38
"Dundee City"	"Battery"	"Application Submitted"	1	49.9
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	3
"Aberdeenshire"	"Solar Photovoltaics"	"Application Submitted"	1	5
"Aberdeenshire"	"Battery"	"Application Submitted"	1	0
"Dumfries and Galloway"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.75
"Dumfries and Galloway"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.23
"Angus"	"Solar Photovoltaics"	"Awaiting Construction"	1	0.57
"Dumfries and Galloway"	"Wind Onshore"	"Application Submitted"	1	38.4
"Angus"	"Solar Photovoltaics"	"Application Submitted"	1	39.9
"Angus"	"Battery"	"Application Submitted"	1	10
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	4.2
"Highland"	"Wind Onshore"	"Application Submitted"	1	35
"Highland"	"Solar Photovoltaics"	"Application Submitted"	1	0.28
"East Lothian"	"Solar Photovoltaics"	"Application Submitted"	1	0.186
"Dumfries and Galloway"	"Battery"	"Application Submitted"	1	0
"Glasgow City"	"Solar Photovoltaics"	"Application Submitted"	1	0.175
"Aberdeenshire"	"Wind Onshore"	"Application Submitted"	1	0.9
"Edinburgh City"	"Solar Photovoltaics"	"Application Submitted"	1	0.2
"Aberdeenshire"	"Battery"	"Application Submitted"	1	29.9
"Stirling"	"Solar Photovoltaics"	"Application Submitted"	1	15
"Dumfries and Galloway"	"Battery"	"Application Submitted"	1	25
"Fife"	"Wind Onshore"	"Application Submitted"	1	0.15
"Perth and Kinross"	"EfW Incineration"	"Application Submitted"	1	8.6
"Highland"	"Battery"	"Application Submitted"	1	20
"South Lanarkshire"	"Wind Onshore"	"Application Submitted"	1	3
"Dumfries and Galloway"	"Battery"	"Application Submitted"	1	0
"Dumfries and Galloway"	"Solar Photovoltaics"	"Application Submitted"	1	20
