"RenewableArea"	"ProjectName"	"SiteName"	"Country"	"Capacity"	"change in capacity Q1"	"change in capacity Q2"	"change in capacity Q3"	"change in capacity Q4"	"RESTATS Ref"	"ROC Ref"	"Survey"	"Capacity Q1"	"Capacity Q2"	"Capacity Q3"	"Capacity Q4"	"Operational Month (0=previous years)"	"CAPACITY END of last year"
"Large Hydro"	"Scottish & Southern Energy plc"	"Finlarig"	"Scotland"	16.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish Power (Galloway)"	"Tongland"	"Scotland"	33	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Luichart"	"Scotland"	34	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Tummel"	"Scotland"	34	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Glenmoriston"	"Scotland"	37	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Deanie"	"Scotland"	38	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Clachan"	"Scotland"	40	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Lochay"	"Scotland"	46	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Rannoch"	"Scotland"	45	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Clunie"	"Scotland"	61.2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Fasnakyle"	"Scotland"	69	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Errochty"	"Scotland"	75	0	0	0	0	0	0	0	0	0	0	0	0	0
"Large Hydro"	"Scottish & Southern Energy plc"	"Sloy"	"Scotland"	152.5	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Novar Estate"	"Novar Estate"	"Scotland"	2.556	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Duror Hydro Scheme"	"Duror Hydro Scheme"	"Scotland"	0.71	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Trinafour"	"Scotland"	0.55	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Beochlich Hydro Scheme"	"Beochlich Hydro Scheme"	"Scotland"	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Monzie"	"Monzie"	"Scotland"	0.2	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"RWE Npower Plc"	"Glen Tarbert (SRO)"	"Scotland"	0.85	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Little Wyvis"	"Little Wyvis"	"Scotland"	0.68	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"RWE Npower Plc"	"Auchtertyre Hydro Scheme (SRO)"	"Scotland"	0.6	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Loch Poll Hydro Project"	"Loch Poll Hydro Project"	"Scotland"	0.225	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Cluanie Dam"	"Scotland"	0.32	0	0	0	0	0	0	0	0	0	0	0	0	0
"Small Hydro"	"Scottish & Southern Energy plc"	"Dundreggan Dam"	"Scotland"	0.16	0	0	0	0	0	0	0	0	0	0	0	0	0
