"LA"	"TechType"	"Status"	"Sites"	"Capacity"
"Moray"	"Wind Onshore"	"Operational"	1	66.7
"East Ayrshire"	"Wind Onshore"	"Operational"	1	50
"West Lothian"	"Wind Onshore"	"Operational"	1	30.75
"South Ayrshire"	"Wind Onshore"	"Operational"	1	69
"Na h-Eileanan an Iar/Western Isles"	"Wind Onshore"	"Operational"	1	9
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	8.25
"Highland"	"Wind Onshore"	"Operational"	1	9.2
"Moray"	"Wind Onshore"	"Operational"	1	18.4
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	6
"Highland"	"Wind Onshore"	"Operational"	1	10
"Argyll and Bute"	"Wind Onshore"	"Operational"	1	48.3
"East Lothian"	"Wind Onshore"	"Operational"	1	60.8
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	36
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	2.3
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	7.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	10
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	6.9
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	29.9
"Fife"	"Wind Onshore"	"Operational"	1	18.4
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	25
"East Ayrshire"	"Wind Onshore"	"Operational"	1	66
"North Ayrshire"	"Wind Onshore"	"Operational"	1	2.5
"Moray"	"Wind Onshore"	"Operational"	1	27.6
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	239
"Highland"	"Wind Onshore"	"Operational"	1	18
"Fife"	"Wind Onshore"	"Operational"	1	1.5
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	4.6
"Highland"	"Wind Onshore"	"Operational"	1	39
"Aberdeenshire"	"Wind Onshore"	"Operational"	1	10
"Highland"	"Wind Onshore"	"Operational"	1	18.45
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	30
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	61.5
"East Lothian"	"Wind Onshore"	"Operational"	1	5.1
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	8.12
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	25
"South Lanarkshire"	"Wind Onshore"	"Operational"	1	51
"Dumfries and Galloway"	"Wind Onshore"	"Operational"	1	32.4
