Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"15/11/2019 00:00:00","15/11/2019","System Entry Energy, STFergus-Mobil, D+1","214264016.0000","16/11/2019 12:02:15","L"
"15/11/2019 00:00:00","15/11/2019","System Entry Energy, STFergus-NSMP, D+1","391770000.0000","16/11/2019 12:02:15","L"
"15/11/2019 00:00:00","15/11/2019","System Entry Energy, STFergus-Shell, D+1","71082500.0000","16/11/2019 12:02:15","L"
"14/11/2019 00:00:00","14/11/2019","NTS System Input Physical, Actual (Energy), D+1","3406373402.0000","15/11/2019 14:02:13","A"
"14/11/2019 00:00:00","14/11/2019","System Entry Energy, STFergus-NSMP, D+1","340029826.0000","15/11/2019 14:02:13","A"
"14/11/2019 00:00:00","14/11/2019","System Entry Energy, STFergus-Mobil, D+1","214264016.0000","15/11/2019 12:02:17","L"
"14/11/2019 00:00:00","14/11/2019","System Entry Energy, STFergus-Shell, D+1","71082500.0000","15/11/2019 12:02:17","L"
"13/11/2019 00:00:00","13/11/2019","NTS System Input Physical, Actual (Energy), D+1","3383549556.0000","14/11/2019 17:02:11","A"
"13/11/2019 00:00:00","13/11/2019","System Entry Energy, STFergus-NSMP, D+1","235518446.0000","14/11/2019 17:02:11","A"
"13/11/2019 00:00:00","13/11/2019","System Entry Energy, STFergus-Shell, D+1","146889132.0000","14/11/2019 14:02:14","A"
"13/11/2019 00:00:00","13/11/2019","System Entry Energy, STFergus-Mobil, D+1","222701680.0000","14/11/2019 12:02:14","L"
"12/11/2019 00:00:00","12/11/2019","NTS System Input Physical, Actual (Energy), D+1","3215484890.0000","13/11/2019 17:02:12","A"
"12/11/2019 00:00:00","12/11/2019","System Entry Energy, STFergus-NSMP, D+1","239948841.0000","13/11/2019 17:02:12","A"
"12/11/2019 00:00:00","12/11/2019","System Entry Energy, STFergus-Mobil, D+1","220261536.0000","13/11/2019 12:02:14","L"
"12/11/2019 00:00:00","12/11/2019","System Entry Energy, STFergus-Shell, D+1","218319549.0000","13/11/2019 12:02:14","L"
"11/11/2019 00:00:00","11/11/2019","NTS System Input Physical, Actual (Energy), D+1","3035074913.0000","12/11/2019 17:02:14","A"
"11/11/2019 00:00:00","11/11/2019","System Entry Energy, STFergus-NSMP, D+1","297565061.0000","12/11/2019 17:02:14","A"
"11/11/2019 00:00:00","11/11/2019","System Entry Energy, STFergus-Mobil, D+1","208736880.0000","12/11/2019 12:02:14","L"
"11/11/2019 00:00:00","11/11/2019","System Entry Energy, STFergus-Shell, D+1","218126389.0000","12/11/2019 12:02:14","L"
"10/11/2019 00:00:00","10/11/2019","NTS System Input Physical, Actual (Energy), D+1","2958559636.0000","11/11/2019 17:02:12","A"
"10/11/2019 00:00:00","10/11/2019","System Entry Energy, STFergus-NSMP, D+1","329126866.0000","11/11/2019 17:02:12","A"
