Generator type,Fuel,Year,Country,value
All generating companies,Wind,2012,Wales,1446.5197
All generating companies,Solar,2012,Wales,86.9308
All generating companies,Shoreline wave and tidal,2012,Wales,0
All generating companies,Bioenergy,2012,Wales,608.9133
All generating companies,Other fuels,2012,Wales,456.0726
All generating companies,Pumped storage,2012,Wales,2356.7222
All generating companies,Total all generating companies,2012,Wales,35943.7575
Major power producers,Coal,2012,Nothern Ireland,2330.4963
Major power producers,Oil,2012,Nothern Ireland,59.0163
Major power producers,Gas,2012,Nothern Ireland,3609.1714
Major power producers,Nuclear,2012,Nothern Ireland,0
Major power producers,Hydro natural flow,2012,Nothern Ireland,0
Major power producers,Wind,2012,Nothern Ireland,553.1138
Major power producers,Solar,2012,Nothern Ireland,NA
Major power producers,Bioenergy,2012,Nothern Ireland,0
Major power producers,Other fuels,2012,Nothern Ireland,NA
Major power producers,Hydro pumped storage,2012,Nothern Ireland,0
Major power producers,Total major power producers,2012,Nothern Ireland,6551.7978
Other generators,Coal,2012,Nothern Ireland,39.3873
Other generators,Oil,2012,Nothern Ireland,35.6917
Other generators,Gas,2012,Nothern Ireland,123.5276
Other generators,Hydro natural flow,2012,Nothern Ireland,24.921
Other generators,Wind,2012,Nothern Ireland,488.876
Other generators,Solar,2012,Nothern Ireland,2.4772
Other generators,Shoreline wave and tidal,2012,Nothern Ireland,3.283
Other generators,Bioenergy,2012,Nothern Ireland,111.2235
Other generators,Other fuels,2012,Nothern Ireland,0
Other generators,Total other generators,2012,Nothern Ireland,829.3871
All generating companies,Fossil fuels,2012,Nothern Ireland,6197.2905
All generating companies,Coal,2012,Nothern Ireland,2369.8836
All generating companies,Oil,2012,Nothern Ireland,94.708
All generating companies,Gas,2012,Nothern Ireland,3732.6989
All generating companies,Nuclear,2012,Nothern Ireland,0
All generating companies,Renewables,2012,Nothern Ireland,1183.8943
All generating companies,Hydro natural flow,2012,Nothern Ireland,24.921
All generating companies,Wind,2012,Nothern Ireland,1041.9897
All generating companies,Solar,2012,Nothern Ireland,2.4772
All generating companies,Shoreline wave and tidal,2012,Nothern Ireland,3.283
All generating companies,Bioenergy,2012,Nothern Ireland,111.2235
All generating companies,Other fuels,2012,Nothern Ireland,0
All generating companies,Pumped storage,2012,Nothern Ireland,0
All generating companies,Total all generating companies,2012,Nothern Ireland,7381.1848
Major power producers,Coal,2012,England,115409.5107
Major power producers,Oil,2012,England,772.7238
Major power producers,Gas,2012,England,64192.3559
Major power producers,Nuclear,2012,England,49213.9749
Major power producers,Hydro natural flow,2012,England,24.542
Major power producers,Wind,2012,England,8139.9833
Major power producers,Solar,2012,England,NA
Major power producers,Bioenergy,2012,England,5528.3134
Major power producers,Other fuels,2012,England,NA
Major power producers,Hydro pumped storage,2012,England,0
Major power producers,Total major power producers,2012,England,243281.404
Other generators,Coal,2012,England,2952.2498
Other generators,Oil,2012,England,916.4821
Other generators,Gas,2012,England,10975.2464
Other generators,Hydro natural flow,2012,England,65.7324
Other generators,Wind,2012,England,926.9447
Other generators,Solar,2012,England,1194.5925
Other generators,Shoreline wave and tidal,2012,England,0.1319
Other generators,Bioenergy,2012,England,7027.0827
Other generators,Other fuels,2012,England,2875.7738
Other generators,Total other generators,2012,England,26934.2363
All generating companies,Fossil fuels,2012,England,195218.5687
All generating companies,Coal,2012,England,118361.7605
All generating companies,Oil,2012,England,1689.2059
All generating companies,Gas,2012,England,75167.6023
All generating companies,Nuclear,2012,England,49213.9749
All generating companies,Renewables,2012,England,22907.3229
