"Year"	"LACode"	"LAName"	"Onshore Wind"	"Offshore Wind"	"Hydro"	"Solar photovoltaics"	"Shoreline wave / tidal"	"Biomass and Energy from Waste"	"Total Renewable"
"2018"	"S12000010"	"East Lothian"	426.168551	0	0.112406	7.094516	0	36.434933	469.810406
"2018"	"S12000011"	"East Renfrewshire"	701.441481	0	0	1.769483	0	0	703.210964
"2018"	"S12000036"	"Edinburgh City of"	0.262872	0	0.851558	8.410474	0	30.526548	40.051452
"2018"	"S12000013"	"Eilean Siar"	134.499638	0	6.73607	1.186495	0	0.3875	142.809704
"2018"	"S12000014"	"Falkirk"	101.93306	0	2.965928	4.74002	0	31.674376	141.313384
"2018"	"S12000047"	"Fife"	224.434609	17.125832	2.97484	31.502557	0	459.413612	735.45145
"2018"	"S12000049"	"Glasgow City"	8.010482	0	0	10.060017	0	67.217702	85.288201
"2018"	"S12000017"	"Highland"	3664.468027	0	2865.086878	16.821874	7.2276	170.812611	6724.416991
"2018"	"S12000018"	"Inverclyde"	6.534912	0	0.26228	1.814118	0	0	8.61131
"2018"	"S12000019"	"Midlothian"	103.757131	0	1.342056	4.034271	0	15.635456	124.768914
"2018"	"S12000020"	"Moray"	788.214526	0	0.425745	9.047132	0	160.761202	958.448604
"2018"	"S12000021"	"North Ayrshire"	344.434416	0	10.726227	11.000504	0	185.121332	551.282478
"2018"	"S12000050"	"North Lanarkshire"	61.553333	0	1.209213	8.847069	0	200.977173	272.586788
"2018"	"S12000023"	"Orkney Islands"	172.517261	0	0.037469	1.397105	1.882	0	175.833835
"2018"	"S12000048"	"Perth & Kinross"	532.395087	0	752.319496	25.901889	0	24.18104	1334.797513
"2018"	"S12000038"	"Renfrewshire"	0.035419	0	0	6.04029	0	0.644765	6.720474
"2018"	"S12000026"	"Scottish Borders"	1493.077102	0	2.045284	14.908034	0	15.6012	1525.63162
"2018"	"S12000027"	"Shetland Islands"	41.064108	0	0.063015	0.234155	0.1888	0	41.550079
"2018"	"S12000028"	"South Ayrshire"	1388.398523	0	2.260088	4.600495	0	47.092873	1442.351979
"2018"	"S12000029"	"South Lanarkshire"	2636.482142	0	86.995342	12.210689	0	86.317449	2822.005622
"2018"	"S12000030"	"Stirling"	418.804591	0	307.7577	12.241625	0	13.21269	752.016606
"2018"	"S12000039"	"West Dunbartonshire"	0	0	2.390085	3.259856	0	27.211	32.860941
"2018"	"S12000040"	"West Lothian"	254.66985	0	0	7.603898	0	2.574	264.847748
"2019"	"S12000033"	"Aberdeen City"	3.217143	0	0	7.932847	0	0	11.14999
"2019"	"S12000034"	"Aberdeenshire"	1169.672498	0	2.102477	38.889957	0	47.137873	1257.802805
