GeographyCode,DateCode,Measurement,Units,Energy Type,Energy Consuming Sector,Value
S12000005,2015,Count,GWh,Petroleum products,Rail,49.364954383
S12000005,2015,Count,GWh,Petroleum products,Road transport,225.98018423
S12000005,2015,Count,GWh,Petroleum products,All,314.61495702
S12000005,2016,Count,GWh,All,All,1739.0962177
S12000005,2016,Count,GWh,Bioenergy & wastes,Domestic,13.507836961
S12000005,2016,Count,GWh,Bioenergy & wastes,All,13.50833212
S12000005,2016,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,4.95438e-4
S12000005,2016,Count,GWh,Coal,Agriculture,0
S12000005,2016,Count,GWh,Coal,Domestic,2.9210050584
S12000005,2016,Count,GWh,Coal,Industrial & Commercial,0.5026440178
S12000005,2016,Count,GWh,Coal,Public Sector,0.0908597821
S12000005,2016,Count,GWh,Coal,Rail,0
S12000005,2016,Count,GWh,Coal,All,3.5145088582
S12000005,2016,Count,GWh,Electricity,Domestic,86.9315246
S12000005,2016,Count,GWh,Electricity,Industrial & Commercial,219.7803758
S12000005,2016,Count,GWh,Electricity,All,306.7119004
S12000005,2016,Count,GWh,Gas,Domestic,295.1582032
S12000005,2016,Count,GWh,Gas,Industrial & Commercial,801.9462125999999
S12000005,2016,Count,GWh,Gas,All,1097.104416
S12000005,2016,Count,GWh,Manufactured fuels,Domestic,1.7522259137
S12000005,2016,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2016,Count,GWh,Manufactured fuels,All,1.7522259137
S12000005,2016,Count,GWh,Petroleum products,Agriculture,10.375115394
S12000005,2016,Count,GWh,Petroleum products,Domestic,9.2806077553
S12000005,2016,Count,GWh,Petroleum products,Industrial & Commercial,18.917761933
S12000005,2016,Count,GWh,Petroleum products,Public Sector,0.0507441556
S12000005,2016,Count,GWh,Petroleum products,Rail,49.539377192
S12000005,2016,Count,GWh,Petroleum products,Road transport,228.34122798
S12000005,2016,Count,GWh,Petroleum products,All,316.50483441
S12000005,2017,Count,GWh,All,All,1771.6396164
S12000005,2017,Count,GWh,Bioenergy & wastes,Domestic,13.427046899
S12000005,2017,Count,GWh,Bioenergy & wastes,All,13.427311225
S12000005,2017,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,2.6400099999999993e-4
S12000005,2017,Count,GWh,Coal,Agriculture,0
S12000005,2017,Count,GWh,Coal,Domestic,2.8459833709
S12000005,2017,Count,GWh,Coal,Industrial & Commercial,0.496216268
S12000005,2017,Count,GWh,Coal,Public Sector,0.1144265931
S12000005,2017,Count,GWh,Coal,Rail,0
S12000005,2017,Count,GWh,Coal,All,3.4566262319
S12000005,2017,Count,GWh,Electricity,Domestic,85.58726431
S12000005,2017,Count,GWh,Electricity,Industrial & Commercial,218.2137482
S12000005,2017,Count,GWh,Electricity,All,303.8010125
S12000005,2017,Count,GWh,Gas,Domestic,306.9569812
S12000005,2017,Count,GWh,Gas,Industrial & Commercial,815.8196722
S12000005,2017,Count,GWh,Gas,All,1122.776653
S12000005,2017,Count,GWh,Manufactured fuels,Domestic,1.9198801907
S12000005,2017,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2017,Count,GWh,Manufactured fuels,All,1.9198801907
S12000005,2017,Count,GWh,Petroleum products,Agriculture,10.479891599
S12000005,2017,Count,GWh,Petroleum products,Domestic,9.1321054948
S12000005,2017,Count,GWh,Petroleum products,Industrial & Commercial,22.0051782428
S12000005,2017,Count,GWh,Petroleum products,Public Sector,0.0488416736
S12000005,2017,Count,GWh,Petroleum products,Rail,49.000959376
S12000005,2017,Count,GWh,Petroleum products,Road transport,235.59115692
S12000005,2017,Count,GWh,Petroleum products,All,326.2581333
S12000005,2018,Count,GWh,All,All,1777.4866568
S12000005,2018,Count,GWh,Bioenergy & wastes,Domestic,14.670887436
S12000005,2018,Count,GWh,Bioenergy & wastes,All,14.670887436
S12000005,2018,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,0
S12000005,2018,Count,GWh,Coal,Agriculture,0
S12000005,2018,Count,GWh,Coal,Domestic,2.7537497602
S12000005,2018,Count,GWh,Coal,Industrial & Commercial,0.2409488746
S12000005,2018,Count,GWh,Coal,Public Sector,0.123948423
S12000005,2018,Count,GWh,Coal,Rail,0
S12000005,2018,Count,GWh,Coal,All,3.1186470578
S12000005,2018,Count,GWh,Electricity,Domestic,83.35804795
S12000005,2018,Count,GWh,Electricity,Industrial & Commercial,216.5190877
S12000005,2018,Count,GWh,Electricity,All,299.8771356
S12000005,2018,Count,GWh,Gas,Domestic,301.0379168
S12000005,2018,Count,GWh,Gas,Industrial & Commercial,833.2623755
S12000005,2018,Count,GWh,Gas,All,1134.300292
S12000005,2018,Count,GWh,Manufactured fuels,Domestic,1.9599963521
S12000005,2018,Count,GWh,Manufactured fuels,Industrial & Commercial,0
S12000005,2018,Count,GWh,Manufactured fuels,All,1.9599963521
S12000005,2018,Count,GWh,Petroleum products,Agriculture,10.46155552
S12000005,2018,Count,GWh,Petroleum products,Domestic,9.1718965396
S12000005,2018,Count,GWh,Petroleum products,Industrial & Commercial,19.560146460200002
S12000005,2018,Count,GWh,Petroleum products,Public Sector,0.0531234791
S12000005,2018,Count,GWh,Petroleum products,Rail,46.188621351
S12000005,2018,Count,GWh,Petroleum products,Road transport,238.12435502
S12000005,2018,Count,GWh,Petroleum products,All,323.55969837
S12000006,2005,Count,GWh,All,All,5769.0270806
S12000006,2005,Count,GWh,Bioenergy & wastes,Domestic,26.594578546
S12000006,2005,Count,GWh,Bioenergy & wastes,All,106.40862441
S12000006,2005,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,79.81404585
S12000006,2005,Count,GWh,Coal,Agriculture,1.0711400263
S12000006,2005,Count,GWh,Coal,Domestic,41.086461011
S12000006,2005,Count,GWh,Coal,Industrial & Commercial,17.4528548207
S12000006,2005,Count,GWh,Coal,Public Sector,7.4449512454
S12000006,2005,Count,GWh,Coal,Rail,0
S12000006,2005,Count,GWh,Coal,All,67.055407103
S12000006,2005,Count,GWh,Electricity,Domestic,403.87501
S12000006,2005,Count,GWh,Electricity,Industrial & Commercial,578.15056
S12000006,2005,Count,GWh,Electricity,All,982.02557
S12000006,2005,Count,GWh,Gas,Domestic,765.50986
S12000006,2005,Count,GWh,Gas,Industrial & Commercial,588.69897
S12000006,2005,Count,GWh,Gas,All,1354.20883
S12000006,2005,Count,GWh,Manufactured fuels,Domestic,23.294617125
S12000006,2005,Count,GWh,Manufactured fuels,Industrial & Commercial,0.471525243
S12000006,2005,Count,GWh,Manufactured fuels,All,23.766142368
S12000006,2005,Count,GWh,Petroleum products,Agriculture,501.59601696
S12000006,2005,Count,GWh,Petroleum products,Domestic,349.7486896
S12000006,2005,Count,GWh,Petroleum products,Industrial & Commercial,402.1716308123
S12000006,2005,Count,GWh,Petroleum products,Public Sector,11.063639829
S12000006,2005,Count,GWh,Petroleum products,Rail,47.25664213
S12000006,2005,Count,GWh,Petroleum products,Road transport,1923.7258874
S12000006,2005,Count,GWh,Petroleum products,All,3235.5625067
S12000006,2006,Count,GWh,All,All,5558.5066197
S12000006,2006,Count,GWh,Bioenergy & wastes,Domestic,27.776952731
S12000006,2006,Count,GWh,Bioenergy & wastes,All,72.902586348
S12000006,2006,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,45.12563361699999
S12000006,2006,Count,GWh,Coal,Agriculture,0.5962214285
S12000006,2006,Count,GWh,Coal,Domestic,37.003506409
S12000006,2006,Count,GWh,Coal,Industrial & Commercial,19.250102627300002
S12000006,2006,Count,GWh,Coal,Public Sector,6.5964978769
S12000006,2006,Count,GWh,Coal,Rail,0
S12000006,2006,Count,GWh,Coal,All,63.446328342
S12000006,2006,Count,GWh,Electricity,Domestic,389.04676
S12000006,2006,Count,GWh,Electricity,Industrial & Commercial,505.83522
S12000006,2006,Count,GWh,Electricity,All,894.88198
S12000006,2006,Count,GWh,Gas,Domestic,719.33876
S12000006,2006,Count,GWh,Gas,Industrial & Commercial,573.84746
S12000006,2006,Count,GWh,Gas,All,1293.18622
S12000006,2006,Count,GWh,Manufactured fuels,Domestic,22.350384415
S12000006,2006,Count,GWh,Manufactured fuels,Industrial & Commercial,0.6175842266
S12000006,2006,Count,GWh,Manufactured fuels,All,22.967968641
S12000006,2006,Count,GWh,Petroleum products,Agriculture,477.45728719
S12000006,2006,Count,GWh,Petroleum products,Domestic,373.62798407
S12000006,2006,Count,GWh,Petroleum products,Industrial & Commercial,356.9820126216
S12000006,2006,Count,GWh,Petroleum products,Public Sector,6.7957441882
S12000006,2006,Count,GWh,Petroleum products,Rail,46.106516249
S12000006,2006,Count,GWh,Petroleum products,Road transport,1950.1519921
S12000006,2006,Count,GWh,Petroleum products,All,3211.1215364
S12000006,2007,Count,GWh,All,All,5623.5871838
S12000006,2007,Count,GWh,Bioenergy & wastes,Domestic,28.161640032
S12000006,2007,Count,GWh,Bioenergy & wastes,All,58.859349974
S12000006,2007,Count,GWh,Bioenergy & Wastes,Industrial & Commercial,30.697709942
S12000006,2007,Count,GWh,Coal,Agriculture,0.4769771428
S12000006,2007,Count,GWh,Coal,Domestic,42.398205199
