Quarter,Imports (France to UK),Exports (UK to France),Net imports (France to UK),Imports (Ireland to NI),Exports (NI to Ireland),Net imports (Ireland to NI),Imports (Netherlands to UK),Exports (UK to Netherlands),Net imports (Netherlands to UK),Imports (Ireland to Wales),Exports (Wales to Ireland),Net imports (Ireland to Wales),Imports (Belgium to UK),Exports (UK to Belgium),Net imports (Belgium to UK),Imports (Norway to UK),Exports (UK to Norway),Net imports (Norway to UK),UK total imports,UK total exports,UK total net imports,Transfers (Scotland to England),Transfers (England to Scotland),Net transfers (Scotland to England),Transfers (Scotland to NI),Transfers (NI to Scotland),Net transfers (Scotland to NI)
2018 Q3,3362.469,57.217000000000006,3305.2520000000004,101.9794,189.85510000000002,-87.87570000000002,1591.743,48.5265,1543.2165,361.8515,194.0535,167.798,0,0,0,0,0,0,5418.0429,489.6521,4928.3908,2620.6965,68.75,2551.9465,291.6195,144.905,146.71450000000002
2018 Q4,2942.233,267.3655,2674.8675000000003,85.26894999999999,268.43991,-183.17096,1254.9215,95.5405,1159.3809999999999,268.7355,267.558,1.177500000000009,0,0,0,0,0,0,4551.15895,898.90391,3652.25504,3718.9134999999997,235.358,3483.5554999999995,398.389,146.09199999999998,252.29700000000003
2019 Q1,3646.0145,90.21549999999999,3555.799,71.6986,315.3876,-243.68900000000002,1831.7115,34.676,1797.0355,311.28700000000003,289.2045,22.082499999999996,918.725,0.3085,918.4165,0,0,0,6779.4366,729.7921,6049.6445,4428.877,182.812,4246.0650000000005,397.507,98.538,298.969
2019 Q2,2630.951,14.8235,2616.1275,94.3206,237.0093,-142.68869999999998,1553.7865000000002,66.3455,1487.441,305.8905,178.21699999999998,127.6735,1541.2305000000001,6.197500000000001,1535.033,0,0,0,6126.1791,502.59279999999995,5623.586300000001,2420.9855,280.445,2140.5404999999996,268.822,160.07150000000001,108.75049999999999
2019 Q3,2835.2645,217.21749999999997,2618.0470000000005,61.932100000000005,306.848,-244.9159,1190.0015,184.85649999999998,1005.145,214.204,333.374,-119.17000000000002,1218.8875,28.195,1190.6925,0,0,0,5520.2896,1070.491,4449.7986,3816.883,177.14100000000002,3639.7419999999997,462.0525,107.94149999999999,354.111
2019 Q4,2763.1144999999997,406.336,2356.7785,74.05927,267.37657,-193.3173,1473.9245,68.39,1405.5345,406.521,257.072,149.449,1412.062,83.066,1328.996,0,0,0,6129.68127,1082.24057,5047.4407,4955.0325,108.44200000000001,4846.5905,347.0565,128.242,218.81450000000004
2020 Q1,3245.238,162.84099999999998,3082.397,55.62310000000001,320.8264,-265.2033,1436.566,107.87299999999999,1328.6930000000002,438.746,203.74599999999998,235,1504.1475,83.3625,1420.7849999999999,0,0,0,6680.320600000001,878.6488999999999,5801.671700000001,6533.593499999999,34.862,6498.731499999999,294.038,94.729,199.30900000000003
2020 Q2,2629.432,339.34799999999996,2290.084,71.4917,267.9117,-196.42000000000002,1166.3020000000001,220.3435,945.9585,345.067,165.0475,180.0195,1361.577,120.124,1241.453,0,0,0,5573.8697,1112.7747,4461.094999999999,2894.3055000000004,197.851,2696.4545000000003,279.51099999999997,207.3415,72.16949999999997
2020 Q3,1540.1765,977.7429999999999,562.4335000000001,89.25030000000001,228.0903,-138.83999999999997,981.457,131.8845,849.5725,395.8125,107.54150000000001,288.271,986.2365,208.1295,778.107,0,0,0,3992.9327999999996,1653.3888,2339.5440000000003,4065.281,73.32249999999999,3991.9584999999997,210.90800000000002,241.36649999999997,-30.458499999999958
2020 Q4,2997.168,199.78949999999998,2797.3785000000003,104.8492,257.1976,-152.3483,1089.345,86.966,1002.379,420.1785,212.4985,207.68,1532.0605,79.5785,1452.482,0,0,0,6143.60126,836.03015,5307.57111,5867.1720000000005,4.015000000000001,5863.157,278.6585,223.2705,55.388000000000005
