Applicable At,Applicable For,Data Item,Value,Generated Time,Quality Indicator
"02/08/2022 08:56:15","01/08/2022","NTS Energy Offtaken, Moffat, Interconnector","109455556.0000","02/08/2022 11:30:00",""
"02/08/2022 01:00:00","02/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11301295.0000","03/08/2022 14:01:01","A"
"02/08/2022 01:00:00","02/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","4336020.0000","03/08/2022 12:01:00","L"
"02/08/2022 01:00:00","02/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","0.0000","03/08/2022 12:01:00","L"
"01/08/2022 19:15:28","26/07/2022","Demand, Actual DM, LDZ(SC), D+6","18446088.0000","01/08/2022 19:18:01","L"
"01/08/2022 19:15:28","26/07/2022","Demand, Actual NDM, LDZ(SC), D+6","41059407.0000","01/08/2022 19:18:01","L"
"01/08/2022 08:29:41","31/07/2022","NTS Energy Offtaken, Moffat, Interconnector","147900000.0000","01/08/2022 11:30:00",""
"01/08/2022 01:00:00","01/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11259363.0000","02/08/2022 16:01:00","A"
"01/08/2022 01:00:00","01/08/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","2168889.0000","02/08/2022 12:01:01","L"
"01/08/2022 01:00:00","01/08/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","29694444.0000","02/08/2022 12:01:01","L"
"31/07/2022 19:12:57","25/07/2022","Demand, Actual DM, LDZ(SC), D+6","17545032.0000","31/07/2022 19:16:00","L"
"31/07/2022 19:12:57","25/07/2022","Demand, Actual NDM, LDZ(SC), D+6","37244769.0000","31/07/2022 19:16:00","L"
"31/07/2022 07:48:24","30/07/2022","NTS Energy Offtaken, Moffat, Interconnector","139838889.0000","31/07/2022 11:30:00",""
"31/07/2022 01:00:00","31/07/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11492779.0000","01/08/2022 12:01:00","L"
"31/07/2022 01:00:00","31/07/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","49855556.0000","01/08/2022 12:01:00","L"
"30/07/2022 19:13:16","24/07/2022","Demand, Actual DM, LDZ(SC), D+6","16111832.0000","30/07/2022 19:16:00","L"
"30/07/2022 19:13:16","24/07/2022","Demand, Actual NDM, LDZ(SC), D+6","32467892.0000","30/07/2022 19:16:00","L"
"30/07/2022 08:13:05","29/07/2022","NTS Energy Offtaken, Moffat, Interconnector","152419444.0000","30/07/2022 11:30:00",""
"30/07/2022 01:00:00","30/07/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","11467857.0000","31/07/2022 12:01:01","L"
"30/07/2022 01:00:00","30/07/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","37144444.0000","31/07/2022 12:01:01","L"
"29/07/2022 19:13:51","23/07/2022","Demand, Actual DM, LDZ(SC), D+6","15140164.0000","29/07/2022 20:18:01","L"
"29/07/2022 19:13:51","23/07/2022","Demand, Actual NDM, LDZ(SC), D+6","33220883.0000","29/07/2022 20:18:01","L"
"29/07/2022 08:20:52","28/07/2022","NTS Energy Offtaken, Moffat, Interconnector","181100000.0000","29/07/2022 11:30:00",""
"29/07/2022 01:00:00","29/07/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","12705152.0000","30/07/2022 14:01:00","A"
"29/07/2022 01:00:00","29/07/2022","NTS Energy Offtaken, BPGrngmouth, Industrial Offtake","12667671.0000","30/07/2022 12:01:00","L"
"29/07/2022 01:00:00","29/07/2022","NTS Energy Offtaken, Peterhead, NTS Power Station","27172222.0000","30/07/2022 12:01:00","L"
"28/07/2022 19:13:22","22/07/2022","Demand, Actual DM, LDZ(SC), D+6","16624309.0000","28/07/2022 19:17:00","L"
