"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"115","Highland","Scottish Government (S36)",4418,"Wind Onshore","Awaiting Construction",NA,218.4,35,"Highland","S12000017"
"116","Highland","Scottish Government (S36)",4597,"Wind Onshore","Operational",2018-12-11,228,66,"Highland","S12000017"
"117","Highland","Scottish Government (S36)",5949,"Wind Onshore","Application Submitted",NA,105,18,"Highland","S12000017"
"118","Highland","Scottish Government (S36)",4300,"Wind Onshore","Operational",2023-01-12,90,22,"Highland","S12000017"
"119","Highland","Scottish Government (S36)",9048,"Wind Onshore","Application Submitted",NA,70,14,"Highland","S12000017"
"120","Highland","Scottish Government (S36)",8418,"Wind Onshore","Application Submitted",NA,76,16,"Highland","S12000017"
"121","Highland","Scottish Government (S36)",2673,"Wind Onshore","Operational",2011-09-01,20,8,"Highland","S12000017"
"122","Highland","Scottish Government (S36)",8482,"Wind Onshore","Application Submitted",NA,85,13,"Highland","S12000017"
"123","Highland","Scottish Government (S36)",4584,"Wind Onshore","Awaiting Construction",NA,62.4,13,"Highland","S12000017"
"124","Highland","Scottish Government (S36)",9705,"Wind Onshore","Application Submitted",NA,52.8,11,"Highland","S12000017"
"125","Highland","Scottish Government (S36)",8061,"Wind Onshore","Application Submitted",NA,50,10,"Highland","S12000017"
"126","Highland","Scottish Government (S36)",6833,"Wind Onshore","Application Submitted",NA,50,12,"Highland","S12000017"
"127","Highland","Scottish Government (S36)",4123,"Wind Onshore","Operational",2014-05-14,51,17,"Highland","S12000017"
"128","Highland","Scottish Government (S36)",388,"Large Hydro","Operational",2008-12-01,100,0,"Highland","S12000017"
"129","Highland","Scottish Government (S36)",475,"Small Hydro","Operational",2016-08-24,3,0,"Highland","S12000017"
"130","Highland","The Highland Council",11336,"Wind Onshore","Application Submitted",NA,0.5,1,"Highland","S12000017"
"131","Highland","The Highland Council",13234,"Solar Photovoltaics","Application Submitted",NA,1,0,"Highland","S12000017"
"132","Highland","Scottish Government (S36)",10269,"Solar Photovoltaics","Application Submitted",NA,15,0,"Highland","S12000017"
"133","Highland","Scottish Government (S36)",4676,"Wind Onshore","Operational",2005-10-01,92,40,"Highland","S12000017"
"134","Highland","Scottish Government (S36)",4021,"Wind Onshore","Operational",2013-03-29,52.5,21,"Highland","S12000017"
"135","Highland","Scottish Government (S36)",8489,"Wind Onshore","Application Submitted",NA,102,17,"Highland","S12000017"
"136","Highland","Scottish Government (S36)",4640,"Wind Onshore","Operational",2017-09-15,110,32,"Highland","S12000017"
"137","Highland","Scottish Government (S36)",3787,"Wind Onshore","Operational",2017-02-16,85,25,"Highland","S12000017"
"138","Highland","Scottish Government (S36)",3619,"Wind Onshore","Operational",2017-02-16,23.8,7,"Highland","S12000017"
"139","Highland","The Highland Council",10984,"Solar Photovoltaics","Awaiting Construction",NA,0.28,0,"Highland","S12000017"
"140","Highland","The Highlands Council",10633,"Wind Onshore","Application Submitted",NA,21,5,"Highland","S12000017"
"141","Inverness","Highlands Council",13141,"Solar Photovoltaics","Application Submitted",NA,0.37925,0,"Offshore",NA
"142","Loch Lomond and The Trossachs","Loch Lomond and The Trossachs National Park Authority",4797,"Small Hydro","Operational",2017-05-15,1.1,0,"Offshore",NA
"143","Lothian","City of Edinburgh Council",11672,"Solar Photovoltaics","Awaiting Construction",NA,9,0,"Offshore",NA
"144","Lothian","City of Edinburgh Council",11009,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Offshore",NA
"145","Lothian","Edinburgh Council",12254,"Solar Photovoltaics","Awaiting Construction",NA,1.22,0,"Offshore",NA
"146","Lothian","Edinburgh Council",12320,"Solar Photovoltaics","Awaiting Construction",NA,0.18,0,"Offshore",NA
"147","Lothian","Edinburgh Council",10938,"Solar Photovoltaics","Awaiting Construction",NA,1.02,0,"Offshore",NA
"148","Lothian","Scottish Government (S36)",4332,"Wind Onshore","Operational",2017-11-15,60.8,19,"Offshore",NA
"149","Lothian","Scottish Government (S36)",4225,"Wind Onshore","Operational",2016-12-01,51.7,22,"Offshore",NA
"150","Moray","Scottish Government (S36)",6341,"Solar Photovoltaics","Awaiting Construction",NA,50,0,"Moray","S12000020"
"151","Moray","Scottish Government (S36)",8004,"Wind Onshore","Application Submitted",NA,145.2,22,"Moray","S12000020"
"152","Moray","Scottish Government (S36)",6275,"Wind Onshore","Awaiting Construction",NA,132,28,"Moray","S12000020"
"153","Moray","Scottish Government (S36)",6372,"Wind Onshore","Awaiting Construction",NA,225,48,"Moray","S12000020"
"154","Nairn","Scottish Government (S36)",10998,"Wind Onshore","Application Submitted",NA,31.5,7,"Offshore",NA
"155","Offshore","Marine Scotland",6264,"Wind Offshore","Under Construction",NA,10,2,"Offshore",NA
"156","Offshore","Marine Scotland",9873,"Wind Offshore","Application Submitted",NA,4100,307,"Offshore",NA
"157","Offshore","Marine Scotland",2527,"Wind Offshore","Awaiting Construction",NA,1080,72,"Offshore",NA
"158","Offshore","Marine Scotland",6136,"Wind Offshore","Operational",2021-10-19,49.625,6,"Offshore",NA
"159","Offshore","Scottish Government (S36)",2505,"Wind Offshore","Operational",2018-09-07,96.8,11,"Offshore",NA
"160","Offshore","Marine Scotland",14144,"Wind Offshore","Awaiting Construction",NA,540,36,"Offshore",NA
"161","Offshore","Marine Scotland",2522,"Wind Offshore","Under Construction",NA,450,54,"Offshore",NA
"162","Offshore","Marine Scotland",14484,"Wind Offshore","Awaiting Construction",NA,20,1,"Offshore",NA
"163","Offshore","Scottish Government (S36)",2534,"Wind Offshore","Operational",2022-04-01,950,100,"Offshore",NA
"164","Offshore","Scottish Government (S36)",2415,"Tidal Stream","Awaiting Construction",NA,10,0,"Offshore",NA
"165","Offshore","Scottish Government (S36)",2528,"Wind Offshore","Operational",2014-03-31,7,1,"Offshore",NA
"166","Offshore","Marine Scotland",2479,"Wind Offshore","Operational",2017-10-27,30,5,"Offshore",NA
"167","Offshore","Marine Scotland",11989,"Wind Offshore","Awaiting Construction",NA,100,7,"Offshore",NA
"168","Offshore","Scottish Government (S36)",2497,"Wind Offshore","Operational",2009-07-18,90,28,"Offshore",NA
"169","Offshore","Marine Scotland",6158,"Wind Offshore","Under Construction",NA,882,60,"Offshore",NA
"170","Offshore","Scottish Government (S36)",2496,"Wind Offshore","Operational",2010-04-28,84,30,"Offshore",NA
"171","Offshore","Scottish Government (S36)",2485,"Wind Offshore","Operational",2007-07-17,10,2,"Offshore",NA
"172","Offshore","Scottish Government (S36)",2521,"Wind Offshore","Operational",2019-08-05,588,84,"Offshore",NA
"173","Offshore","Marine Scotland",2540,"Wind Offshore","Under Construction",NA,1075,114,"Offshore",NA
"174","Orkney Islands","Marine Scotland",7568,"Shoreline wave / tidal","Application Submitted",NA,20,0,"Orkney Islands","S12000023"
"175","Orkney Islands","Scottish Government (S36)",2436,"Tidal Stream","Operational",2017-02-20,6,0,"Orkney Islands","S12000023"
"176","Orkney Islands","Scottish Government (S36)",2452,"Shoreline wave / tidal","Operational",2008-05-27,1,0,"Orkney Islands","S12000023"
"177","Orkney Islands","Scottish Government (S36)",6595,"Tidal Stream","Operational",2019-03-05,2,0,"Orkney Islands","S12000023"
"178","Orkney Islands","Scottish Government (S36)",2402,"Tidal Stream","Operational",2017-04-14,2,0,"Orkney Islands","S12000023"
"179","Orkney Islands","Scottish Government (S36)",4980,"Tidal Stream","Awaiting Construction",NA,86,0,"Orkney Islands","S12000023"
"180","Orkney Islands","Marine Scotland",2416,"Tidal Stream","Application Submitted",NA,200,0,"Orkney Islands","S12000023"
"181","Scottish Borders","Scottish Government (S36)",8002,"Wind Onshore","Application Submitted",NA,48,8,"Scottish Borders","S12000026"
"182","Scottish Borders","Scottish Government (S36)",7582,"Wind Onshore","Application Submitted",NA,63,14,"Scottish Borders","S12000026"
"183","Shetland","Scottish Government (S36)",3516,"Wind Onshore","Awaiting Construction",NA,59.5,17,"Shetland Islands","S12000027"
"184","Shetland","Marine Scotland",7463,"Tidal Stream","Operational",2023-01-31,1.4,0,"Shetland Islands","S12000027"
