"","County","Planning Authority","Ref ID","Technology Type","Development Status (short)","Operational","Installed Capacity (MWelec)","No. of Turbines","LA","LACode"
"956","Borders","Scottish Borders Council",13715,"Solar Photovoltaics","Awaiting Construction",NA,0.46,0,"Scottish Borders","S12000026"
"957","Borders","Scottish Borders Council",4601,"Wind Onshore","Operational",2017-03-15,5,2,"Scottish Borders","S12000026"
"958","Borders","Scottish Borders Council",13543,"Solar Photovoltaics","Awaiting Construction",NA,0.198,0,"Scottish Borders","S12000026"
"1153","Shetland","Shetland Islands Council",7266,"Wind Onshore","Awaiting Construction",NA,0.9,1,"Shetland Islands","S12000027"
"1154","Shetland","Shetland Islands Council",6384,"Wind Onshore","Awaiting Construction",NA,46.8,12,"Shetland Islands","S12000027"
"1155","Shetland","Shetland Islands Council",3745,"Wind Onshore","Operational",2017-04-03,4.5,5,"Shetland Islands","S12000027"
"1156","Shetland","Shetland Islands Council",9031,"Wind Onshore","Application Submitted",NA,2.7,3,"Shetland Islands","S12000027"
"1157","Shetland","Shetland Islands Council",3310,"Wind Onshore","Operational",2000-12-16,3.7,5,"Shetland Islands","S12000027"
"1158","Shetland","Shetland Islands Council",4075,"Wind Onshore","Operational",2015-11-15,3,1,"Shetland Islands","S12000027"
"1159","Shetland","Shetland Islands Council",8451,"Solar Photovoltaics","Operational",2021-09-11,0,0,"Shetland Islands","S12000027"
"1160","Strathclyde","South Ayrshire Council",12978,"Solar Photovoltaics","Awaiting Construction",NA,0.25,0,"South Ayrshire","S12000028"
"1161","Strathclyde","South Ayrshire Council",4073,"Wind Onshore","Operational",2020-06-01,20,8,"South Ayrshire","S12000028"
"1162","Ayrshire","South Ayrshire Council",11879,"Wind Onshore","Application Submitted",NA,1,1,"South Ayrshire","S12000028"
"1163","South Ayrshire","South Ayrshire Council",6138,"Biomass (dedicated)","Operational",2017-03-18,2.6,0,"South Ayrshire","S12000028"
"1164","South Ayrshire","South Ayrshire Council",4988,"Wind Onshore","Under Construction",NA,18.8,8,"South Ayrshire","S12000028"
"1165","Strathclyde","South Ayrshire Council",13758,"Anaerobic Digestion","Awaiting Construction",NA,2,0,"South Ayrshire","S12000028"
"1166","Strathclyde","South Ayrshire Council",4593,"Wind Onshore","Operational",2017-01-15,22,11,"South Ayrshire","S12000028"
"1167","Strathclyde","South Ayrshire Council",4645,"Wind Onshore","Operational",2016-10-28,25,11,"South Ayrshire","S12000028"
"1168","Strathclyde","South Lanarkshire Council",3676,"Wind Onshore","Operational",2013-09-30,15,6,"South Lanarkshire","S12000029"
"1169","Strathclyde","South Lanarkshire Council",3688,"Wind Onshore","Operational",2013-09-01,28,14,"South Lanarkshire","S12000029"
"1170","Strathclyde","South Lanarkshire Council",14260,"Solar Photovoltaics","Awaiting Construction",NA,0.22,0,"South Lanarkshire","S12000029"
"1171","Strathclyde","South Lanarkshire Council",3220,"Wind Onshore","Operational",2008-10-01,26,20,"South Lanarkshire","S12000029"
"1172","Lothian","South Lanarkshire Council",8344,"Wind Onshore","Application Submitted",NA,19.8,3,"South Lanarkshire","S12000029"
"1173","Strathclyde","South Lanarkshire Council",4337,"Wind Onshore","Operational",2017-03-20,36,12,"South Lanarkshire","S12000029"
"1174","South Lanarkshire","South Lanarkshire Council",14228,"Solar Photovoltaics","Application Submitted",NA,0.16443,0,"South Lanarkshire","S12000029"
"1175","South Lanarkshire","South Lanarkshire Council",13660,"Wind Onshore","Application Submitted",NA,0,1,"South Lanarkshire","S12000029"
"1176","Strathclyde","South Lanarkshire Council",3810,"Wind Onshore","Operational",2013-12-30,9,3,"South Lanarkshire","S12000029"
"1177","Strathclyde","South Lanarkshire Council",8421,"Solar Photovoltaics","Operational",2021-04-21,0,0,"South Lanarkshire","S12000029"
"1178","Strathclyde","South Lanarkshire Council",4683,"Wind Onshore","Operational",2011-01-01,12.3,6,"South Lanarkshire","S12000029"
"1179","South Lanarkshire","South Lanarkshire Council",13656,"Solar Photovoltaics","Awaiting Construction",NA,0.1844,0,"South Lanarkshire","S12000029"
"1180","Strathclyde","South Lanarkshire Council",10409,"Solar Photovoltaics","Awaiting Construction",NA,12,0,"South Lanarkshire","S12000029"
"1181","South Lanarkshire","South Lanarkshire Council",5455,"Wind Onshore","Application Submitted",NA,48,16,"South Lanarkshire","S12000029"
"1182","Strathclyde","South Lanarkshire Council",4110,"Wind Onshore","Operational",2016-11-02,36,14,"South Lanarkshire","S12000029"
"1183","Strathclyde","South Lanarkshire Council",3633,"Wind Onshore","Under Construction",NA,1.6,2,"South Lanarkshire","S12000029"
"1184","South Lanarkshire","South Lanarkshire Council",7679,"Wind Onshore","Application Submitted",NA,4.2,1,"South Lanarkshire","S12000029"
"1185","Strathclyde","South Lanarkshire Council",4427,"Wind Onshore","Operational",2014-06-30,30,12,"South Lanarkshire","S12000029"
"1186","Strathclyde","South Lanarkshire Council",11856,"Wind Onshore","Application Submitted",NA,30,6,"South Lanarkshire","S12000029"
"1187","South Lanarkshire","South Lanarkshire Council",6173,"Wind Onshore","Operational",2016-07-28,2.6,3,"South Lanarkshire","S12000029"
"1188","Strathclyde","South Lanarkshire Council",3301,"Wind Onshore","Operational",1995-11-01,7.8,13,"South Lanarkshire","S12000029"
"1189","Strathclyde","South Lanarkshire Council",3453,"Wind Onshore","Operational",2009-07-01,6,3,"South Lanarkshire","S12000029"
"1190","Strathclyde","South Lanarkshire Council",4281,"Wind Onshore","Operational",2016-03-17,8.3,3,"South Lanarkshire","S12000029"
"1191","Strathclyde","South Lanarkshire Council",3915,"Wind Onshore","Operational",2016-09-15,2.4,3,"South Lanarkshire","S12000029"
"1192","Strathclyde","South Lanarkshire Council",10734,"Wind Onshore","Application Submitted",NA,20,3,"South Lanarkshire","S12000029"
"1193","Strathclyde","South Lanarkshire Council",3873,"Wind Onshore","Operational",2014-04-30,6.8,2,"South Lanarkshire","S12000029"
"1194","Strathclyde","South Lanarkshire Council",726,"Landfill Gas","Operational",2006-01-01,7.4,0,"South Lanarkshire","S12000029"
"1195","South Lanarkshire","South Lanarkshire Council",6708,"Wind Onshore","Awaiting Construction",NA,40,10,"South Lanarkshire","S12000029"
"1196","Strathclyde","South Lanarkshire Council",12041,"Wind Onshore","Application Submitted",NA,11.4,3,"South Lanarkshire","S12000029"
"1197","Lanarkshire","South Lanarkshire Council",12604,"Anaerobic Digestion","Application Submitted",NA,0,0,"South Lanarkshire","S12000029"
"1198","Strathclyde","South Lanarkshire Council",4240,"Wind Onshore","Operational",2014-01-15,7.5,3,"South Lanarkshire","S12000029"
"1199","Strathclyde","South Lanarkshire Council",12638,"Solar Photovoltaics","Awaiting Construction",NA,0.37,0,"South Lanarkshire","S12000029"
"1200","South Lanarkshire","South Lanarkshire Council",6363,"Wind Onshore","Awaiting Construction",NA,46.2,7,"South Lanarkshire","S12000029"
"1201","Strathclyde","South Lanarkshire Council",9459,"Wind Onshore","Application Submitted",NA,10.2,3,"South Lanarkshire","S12000029"
"1202","Strathclyde","South Lanarkshire Council",11831,"Solar Photovoltaics","Awaiting Construction",NA,0.65,0,"South Lanarkshire","S12000029"
"1203","Strathclyde","South Lanarkshire Council",13178,"Solar Photovoltaics","Application Submitted",NA,0.39,0,"South Lanarkshire","S12000029"
"1204","Strathclyde","South Lanarkshire Council",12275,"Wind Onshore","Application Submitted",NA,36,6,"South Lanarkshire","S12000029"
"1205","Strathclyde","South Lanarkshire Council",7846,"Wind Onshore","Awaiting Construction",NA,3,1,"South Lanarkshire","S12000029"
"1206","Strathclyde","South Lanarkshire Council",14155,"Solar Photovoltaics","Application Submitted",NA,0.3,0,"South Lanarkshire","S12000029"
"1207","Strathclyde","South Lanarkshire Council",3667,"Wind Onshore","Operational",2013-02-18,2.2,1,"South Lanarkshire","S12000029"
"1208","Strathclyde","South Lanarkshire Council",9146,"Wind Onshore","Application Submitted",NA,0,0,"South Lanarkshire","S12000029"
"1209","South Lanarkshire","South Lanarkshire Council",13294,"Solar Photovoltaics","Awaiting Construction",NA,0.37382,0,"South Lanarkshire","S12000029"
"1210","Strathclyde","South Lanarkshire Council",4362,"Wind Onshore","Operational",2015-08-28,29.9,13,"South Lanarkshire","S12000029"
"1211","South Lanarkshire","South Lanarkshire Council",5393,"Wind Onshore","Under Construction",NA,49,15,"South Lanarkshire","S12000029"
"1212","Strathclyde","South Lanarkshire Council",3593,"Wind Onshore","Operational",1995-11-01,7.8,13,"South Lanarkshire","S12000029"
"1213","Strathclyde","South Lanarkshire Council",4055,"Wind Onshore","Operational",2013-03-27,14.3,11,"South Lanarkshire","S12000029"
"1214","Strathclyde","South Lanarkshire Council",13829,"Solar Photovoltaics","Application Submitted",NA,0.7093,0,"South Lanarkshire","S12000029"
"1215","Strathclyde","South Lanarkshire Council",13123,"Wind Onshore","Application Submitted",NA,7.6,2,"South Lanarkshire","S12000029"
"1216","Strathclyde","South Lanarkshire Council",12271,"Solar Photovoltaics","Awaiting Construction",NA,0.936,0,"South Lanarkshire","S12000029"
"1217","Strathclyde","South Lanarkshire Council",10671,"Solar Photovoltaics","Application Submitted",NA,0,0,"South Lanarkshire","S12000029"
"1218","South Lanarkshire","South Lanarkshire Council",10704,"Solar Photovoltaics","Awaiting Construction",NA,0.199,0,"South Lanarkshire","S12000029"
"1219","South Lanarkshire","South Lanarkshire Council",6106,"Wind Onshore","Operational",2015-08-01,1.5,1,"South Lanarkshire","S12000029"
"1220","Strathclyde","South Lanarkshire Council",11909,"Solar Photovoltaics","Awaiting Construction",NA,0.19,0,"South Lanarkshire","S12000029"
"1221","Stirling","Stirling Council",6318,"Wind Onshore","Operational",2017-03-31,1.5,1,"Stirling","S12000030"
"1222","Stirling","Stirling Council",3201,"Wind Onshore","Operational",2007-02-01,37.5,14,"Stirling","S12000030"
"1223","Stirling","Stirling Council",10247,"Solar Photovoltaics","Awaiting Construction",NA,0,0,"Stirling","S12000030"
"1224","Stirling","Stirling Council",4247,"Wind Onshore","Operational",2016-05-30,22.5,9,"Stirling","S12000030"
"1225","Stirling","Stirling Council",2940,"Wind Onshore","Operational",2010-03-31,20,8,"Stirling","S12000030"
"1226","Stirling","Stirling Council",41,"Biomass (dedicated)","Operational",2008-02-01,15,0,"Stirling","S12000030"
"1227","Central","Stirling Council",7886,"Wind Onshore","Awaiting Construction",NA,24,5,"Stirling","S12000030"
"1228","Stirling","Stirling Council",3651,"Wind Onshore","Operational",2015-12-15,2.4,3,"Stirling","S12000030"
"1229","Strathclyde","Stirling Council",9646,"Anaerobic Digestion","Awaiting Construction",NA,0,0,"Stirling","S12000030"
"1234","Strathclyde","West Dunbartonshire Council",688,"Landfill Gas","Operational",2002-08-15,2.1,0,"West Dunbartonshire","S12000039"
"1235","Strathclyde","West Dunbartonshire Council",14267,"Solar Photovoltaics","Application Submitted",NA,0.18175,0,"West Dunbartonshire","S12000039"
"1236","Strathclyde","West Dunbartonshire Council",13544,"Solar Photovoltaics","Application Submitted",NA,0,0,"West Dunbartonshire","S12000039"
"1237","Strathclyde","West Dunbartonshire Council",786,"Landfill Gas","Operational",2005-11-01,2,0,"West Dunbartonshire","S12000039"
"1238","Strathclyde","West Dunbartonshire Council",12009,"Solar Photovoltaics","Application Submitted",NA,0,0,"West Dunbartonshire","S12000039"
"1239","West Lothian","West Lothian Council",10476,"Solar Photovoltaics","Awaiting Construction",NA,0.32841,0,"West Lothian","S12000040"
"1240","Lothian","West Lothian Council",4211,"Wind Onshore","Operational",2016-12-01,19.2,6,"West Lothian","S12000040"
"1241","West Lothian","West Lothian Council",11980,"Wind Onshore","Awaiting Construction",NA,4,1,"West Lothian","S12000040"
"1242","West Lothian","West Lothian Council",12602,"Solar Photovoltaics","Awaiting Construction",NA,0.5289,0,"West Lothian","S12000040"
"1243","Lothian","West Lothian Council",9463,"Solar Photovoltaics","Awaiting Construction",NA,18,0,"West Lothian","S12000040"
"1244","West Lothian","West Lothian Council",6327,"Wind Onshore","Awaiting Construction",NA,45.6,8,"West Lothian","S12000040"
"1245","Lothian","West Lothian Council",3232,"Wind Onshore","Operational",2010-01-20,14,7,"West Lothian","S12000040"
"1246","Lothian","West Lothian Council",4263,"Wind Onshore","Operational",2017-03-17,30.8,15,"West Lothian","S12000040"
"1247","West Lothian","West Lothian Council",8909,"Wind Onshore","Awaiting Construction",NA,25.8,6,"West Lothian","S12000040"
"1248","West Lothian","West Lothian Council",5200,"Advanced Conversion Technologies","Operational",2017-12-15,12.5,0,"West Lothian","S12000040"
"1249","West Lothian","West Lothian Council",13132,"Wind Onshore","Application Submitted",NA,15,3,"West Lothian","S12000040"
"1250","West Lothian","West Lothian Council",14263,"Solar Photovoltaics","Application Submitted",NA,0.245,0,"West Lothian","S12000040"
"1251","West Lothian","West Lothian Council",7259,"Solar Photovoltaics","Operational",2020-03-01,0.3,0,"West Lothian","S12000040"
"1252","West Lothian","West Lothian Council",6208,"Wind Onshore","Awaiting Construction",NA,5,2,"West Lothian","S12000040"
"1253","Lothian","West Lothian Council",4218,"Wind Onshore","Operational",2017-07-11,8.5,3,"West Lothian","S12000040"
"1254","West Lothian","West Lothian Council",12422,"Wind Onshore","Application Submitted",NA,19.8,3,"West Lothian","S12000040"
"1255","West Lothian","West Lothian Council",11955,"Solar Photovoltaics","Awaiting Construction",NA,2,0,"West Lothian","S12000040"
"1256","West Lothian","West Lothian Council",5012,"Solar Photovoltaics","Operational",2015-10-22,1.3,0,"West Lothian","S12000040"
"1257","West Lothian","West Lothian Council",10585,"Wind Onshore","Application Submitted",NA,41,6,"West Lothian","S12000040"
"1258","West Lothian","West Lothian Council",8847,"Wind Onshore","Awaiting Construction",NA,14.4,4,"West Lothian","S12000040"
"1259","West Lothian","West Lothian Council",6215,"Advanced Conversion Technologies","Operational",2018-07-01,17,0,"West Lothian","S12000040"
"1260","West Lothian","West Lothian Council",12006,"Solar Photovoltaics","Awaiting Construction",NA,0.34,0,"West Lothian","S12000040"
"1261","West Lothian","West Lothian Council",12115,"Solar Photovoltaics","Awaiting Construction",NA,0.344,0,"West Lothian","S12000040"
